State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES08_DEM vote %	PRES08_REP vote %	PRES08_DEM votes	PRES08_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
California	3	2,550,874	4,1,	D+18	136776	171266	3.0	0.0	1.0	0.0	1.0	510,175	0.337288386642387	7.073602556082147E10	1623396.3502723468	0.0	0.679861735545876	0.320138264454124	582,186	274,144	0.169606175	0.035429762	0.591114916	0.188985030	0.002205571	0.002031122	0.009249011	0.001378415	315,978	66,006	1,101,253	352,081	4,109	3,784	17,231	2,568
California	4	2,640,798	3,2,	D+15	104066	114336	3.0	0.0	1.0	0.0	1.0	528,160	0.34414597847817047	9.50772814641149E12	1.049797720403279E7	1.0846077895152701E7	0.6544911955092856	0.34550880449071447	748,304	395,033	0.651613021	0.048235958	0.188002555	0.068686092	0.003690712	0.011749791	0.025545825	0.002476047	1,325,044	98,087	382,300	139,672	7,505	23,893	51,947	5,035
California	5	2,636,263	3,2,	D+7	114382	83398	2.0	1.0	0.0	0.0	2.0	527,253	0.2500686640440065	4.482251363412182E12	1.3214153473596005E7	2391822.000454297	0.5685765471062805	0.4314234528937195	474,161	359,783	0.448692888	0.039461464	0.408726816	0.073258591	0.003470689	0.005225503	0.018684685	0.002479364	852,735	74,996	776,780	139,227	6,596	9,931	35,510	4,712
California	6	2,543,408	4,1,	D+21	10124	84210	3.0	0.0	1.0	0.0	1.0	508,682	0.34025780659056176	8.905704345621909E10	1813572.9083898813	0.0	0.7060106045042424	0.2939893954957576	594,528	247,567	0.408294364	0.038331506	0.371709917	0.156802178	0.000873280	0.001808937	0.019939729	0.002240088	818,197	76,814	744,884	314,222	1,750	3,625	39,958	4,489
California	7	2,559,152	3,2,	D+6	85312	75989	2.0	1.0	0.0	0.0	2.0	511,830	0.35262336092811725	5.814555485411438E12	1.21772000968476E7	2956888.9713497465	0.5561344679372616	0.4438655320627384	422,581	337,273	0.459492104	0.080944937	0.380207601	0.050930788	0.002449731	0.006053472	0.018071435	0.001849931	836,555	147,369	692,209	92,725	4,460	11,021	32,901	3,368
California	8	2,559,122	3,2,	D+4	58650	78690	2.0	0.0	1.0	0.0	2.0	511,824	0.35095973050927914	2.0658513727123917E11	2719730.205463354	0.0	0.5372658809535308	0.46273411904646927	422,767	364,119	0.357653164	0.066562596	0.431769062	0.120700753	0.002475762	0.002921161	0.016102233	0.001815269	658,457	122,545	794,908	222,216	4,558	5,378	29,645	3,342
California	9	2,646,419	4,1,	D+24	81296	103945	3.0	1.0	0.0	0.0	1.0	529,284	0.3765032190665692	3.5116604985335376E11	2569013.076351806	1139384.3658263464	0.7391049612243504	0.2608950387756496	768,256	271,185	0.424868971	0.025498574	0.221508318	0.297031809	0.004991733	0.002219309	0.021672737	0.002208549	868,764	52,139	452,936	607,365	10,207	4,538	44,316	4,516
California	10	2,556,588	3,2,	D+2	43854	96796	2.0	0.0	1.0	0.0	2.0	511,318	0.25088024294297595	3.4459389028607153E11	2947681.1581069175	1609177.5588514274	0.522652489640488	0.477347510359512	505,902	462,049	0.612243241	0.023729236	0.220216006	0.113900534	0.003276251	0.002932232	0.021763485	0.001939016	1,213,741	47,042	436,567	225,802	6,495	5,813	43,145	3,844
California	11	2,559,083	3,2,	D+5	86048	90521	2.0	1.0	0.0	0.0	2.0	511,817	0.42984035217009864	2.0803436212781047E12	5223801.152569622	3433118.5869511776	0.5475290127650643	0.45247098723493573	495,626	409,579	0.490125797	0.051425972	0.325071841	0.101663786	0.003597418	0.005743631	0.020624358	0.001747198	937,221	98,337	621,604	194,402	6,879	10,983	39,438	3,341
California	12	2,541,972	4,1,	D+21	10126	84164	3.0	0.0	1.0	0.0	1.0	508,394	0.2801357830487128	4.368173433396736E10	1399814.7815707885	0.0	0.7060127755439587	0.2939872244560413	594,186	247,422	0.164611149	0.193992908	0.483451407	0.133645905	0.003466322	0.001851103	0.015743892	0.003237314	311,241	366,795	914,093	252,693	6,554	3,500	29,768	6,121
