State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES04_DEM vote %	PRES04_REP vote %	PRES04_DEM votes	PRES04_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Illinois	2	3,560,848	4,1,	D+18	212244	277188	3.0	0.0	1.0	0.0	1.0	712,170	0.3749617264910431	5.322779559543678E11	2781036.8604678474	1923390.5601907002	0.6765697785166329	0.3234302214833671	937,677	448,251	0.544285289	0.166138544	0.188830408	0.085304217	0.000272470	0.001418082	0.012180280	0.001570709	1,494,203	456,093	518,388	234,182	748	3,893	33,438	4,312
Illinois	3	3,563,423	2,3,	R+1	46582	156644	2.0	0.0	1.0	0.0	2.0	712,685	0.40565523067558495	8.841459766376523E12	5791523.300982356	1.4344146871058956E7	0.4851315247680242	0.5148684752319758	759,927	806,508	0.799268758	0.137773326	0.037226829	0.014283529	0.000292760	0.001897827	0.008699560	0.000557411	2,189,556	377,423	101,981	39,129	802	5,199	23,832	1,527
Illinois	4	2,143,195	2,1,	D+12	198442	139617	2.0	0.0	0.0	0.0	1.0	714,398	0.24244885471824446	1.3226561875469302E11	2618293.6202274826	0.0	0.6184444879502251	0.38155551204977484	518,066	319,626	0.518739222	0.219287323	0.222260784	0.029920210	0.000165263	0.001069124	0.007633874	0.000924201	816,107	344,994	349,672	47,072	260	1,682	12,010	1,454
Indiana	1	2,160,905	1,2,	R+11	155284	116061	1.0	0.0	0.0	0.0	2.0	720,302	0.3667033427379231	3.4520188613570513E12	4514880.196374852	8481989.886589201	0.3885042714790993	0.6114957285209007	270,540	425,823	0.897642862	0.042045787	0.029819106	0.018932650	0.000273009	0.002138670	0.008526230	0.000621685	1,482,871	69,458	49,260	31,276	451	3,533	14,085	1,027
Indiana	2	2,161,228	1,2,	R+10	150980	120051	1.0	0.0	0.0	0.0	2.0	720,409	0.44087471172329995	1.9118911392901978E12	5226826.644794065	2873675.0051333127	0.39519754323904827	0.6048024567609517	284,660	435,638	0.811073733	0.117872580	0.041619480	0.016524315	0.000331007	0.002126131	0.009641973	0.000810781	1,308,472	190,159	67,143	26,658	534	3,430	15,555	1,308
Indiana	3	2,161,669	1,2,	R+6	94090	120863	1.0	0.0	0.0	1.0	1.0	720,556	0.7068287478700238	2.2996968468746387E12	3431651.4670232334	3950004.0198962064	0.4351265146385759	0.5648734853614241	315,542	409,631	0.811030228	0.091529196	0.073878893	0.011530885	0.000260203	0.002474719	0.008718338	0.000577538	1,305,989	147,388	118,966	18,568	419	3,985	14,039	930
Iowa	1	3,046,355	2,2,	D+0	334640	170881	2.0	0.0	0.0	0.0	2.0	761,589	0.9245048697088791	1.1795932316862736E13	0.0	1.688321702211733E7	0.5026045305151784	0.4973954694848216	687,081	679,960	0.909251877	0.024613930	0.038103195	0.017067654	0.000509411	0.002604425	0.007393582	0.000455925	2,107,975	57,064	88,337	39,569	1,181	6,038	17,141	1,057
Kansas	1	2,853,118	1,3,	R+13	9446	146005	1.0	0.0	1.0	0.0	2.0	713,280	1.1803500655825498	1.726877043624987E13	0.0	1.807877344765701E7	0.37095842091069037	0.6290415790893097	433,285	734,730	0.814691049	0.054628514	0.083690978	0.023472624	0.000653285	0.007993683	0.014114052	0.000755816	1,732,179	116,150	177,942	49,907	1,389	16,996	30,009	1,607
Kentucky	1	2,169,689	1,2,	R+10	175080	149956	1.0	0.0	0.0	0.0	2.0	723,230	0.3759434594330699	4.423234299396054E12	4164442.654841114	1.0659998831034243E7	0.40270505477797053	0.5972949452220294	362,323	537,400	0.852947774	0.095419360	0.026545042	0.011955207	0.000606813	0.002233127	0.009727100	0.000565577	1,414,053	158,190	44,007	19,820	1,006	3,702	16,126	938
Kentucky	2	2,169,678	1,2,	R+10	181628	146892	1.0	0.0	0.0	0.0	2.0	723,226	0.4295475012890221	4.0037061432927817E12	4164442.654841114	8877504.03065166	0.39696079532625556	0.6030392046737445	349,861	531,488	0.905928838	0.049967315	0.023427321	0.010267149	0.000256089	0.001970274	0.007686887	0.000496127	1,503,461	82,925	38,880	17,039	425	3,270	12,757	823
