,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,Grofman Asym,efficiency gap,Cs,margin,ndist
963,TN,47,2012,855818.7914273,1373584.708573,0.383877925834056,0.616122074165944,2.0,0.2222222222222222,1.0,0.1111111111111111,0.088609945415850544,1.5,0.045533629445889789,0.43673717030127573,0.116122074165944,9
964,TN,47,2014,475877.5060615,853573.243939,0.3579504589104343,0.6420495410895657,2.0,0.2222222222222222,-0.5,-0.05555555555555555,0.093786908057689578,1.5,-0.0063213044013535891,0.47353445562087276,0.1420495410895657,9
965,TN,47,2016,814181.0,1493740.0,0.352776806485144,0.647223193514856,2.0,0.2222222222222222,-0.5,-0.05555555555555555,0.092700178540941813,2.5,-0.016668609251934252,0.43539774047688956,0.14722319351485602,9
966,TX,48,1972,2136369.4852944,1330288.3608590001,0.6162619964542833,0.38373800354571674,20.0,0.8333333333333334,-1.0,-0.041666666666666664,-0.041195681936634698,-6.0,-0.10080934042476686,-0.26129966358811552,-0.11626199645428326,24
967,TX,48,1974,1063242.0774799,582656.9225201,0.6459947284006492,0.3540052715993508,21.0,0.875,-2.0,-0.08333333333333333,-0.03484281926650501,-3.0,-0.083010543198701603,-0.22180666651923936,-0.1459947284006492,24
968,TX,48,1976,2406991.0403826,1448287.6262838,0.6243364613805954,0.3756635386194046,22.0,0.9166666666666666,-2.0,-0.08333333333333333,-0.00521818836933019,-2.0,-0.16799374390547583,-0.032577007852750785,-0.1243364613805954,24
969,TX,48,1978,1387439.0334368,923930.1665632001,0.6002671634790322,0.3997328365209678,20.0,0.8333333333333334,-2.5,-0.10416666666666667,-0.041685354780604533,-4.0,-0.13279900637526898,-0.25188536652654109,-0.1002671634790322,24
970,TX,48,1980,2385763.9129716,1990797.4203618001,0.5451229244294601,0.4548770755705399,19.0,0.7916666666666666,-4.5,-0.1875,-0.030169022931697764,-4.0,-0.20142081780774646,-0.17134844824971021,-0.04512292442946009,24
971,TX,48,1982,1692102.0228251,1266901.4771749,0.5718486047161148,0.42815139528388524,21.0,0.7777777777777778,-3.5,-0.12962962962962962,-0.033872939642032862,-3.5,-0.13408056834554827,-0.1815122495916475,-0.07184860471611476,27
972,TX,48,1984,2814063.131051,2575295.8689495,0.5221517310408788,0.47784826895912125,17.0,0.6296296296296297,-3.0,-0.1111111111111111,-0.050155091860510037,-3.5,-0.085326167547872145,-0.28065076738210842,-0.022151731040878753,27
973,TX,48,1986,1874010.1879396,1590513.8708847999,0.5409141792986997,0.45908582070130033,17.0,0.6296296296296297,-3.0,-0.1111111111111111,-0.072504234829859682,-2.5,-0.047801271032230308,-0.38133036174995572,-0.04091417929869967,27
974,TX,48,1988,2877863.4596299,2538110.8975129,0.5313657838565022,0.46863421614349776,19.0,0.7037037037037037,-4.0,-0.14814814814814814,-0.067854349272783665,-4.5,-0.14097213599069924,-0.361472284801446,-0.03136578385650224,27
975,TX,48,1990,2255271.6389303994,1938140.7896404,0.5378129810377469,0.4621870189622531,19.0,0.7037037037037037,-3.5,-0.12962962962962962,-0.049263625587747661,-4.5,-0.12807774162820995,-0.26443655341189559,-0.037812981037746884,27
976,TX,48,1992,2893537.2754619997,2797606.7245375,0.5084280551436151,0.4915719448563849,21.0,0.7,-6.0,-0.2,-0.064352713420739782,-6.0,-0.18314388971276974,-0.36692523769493651,-0.00842805514361511,30
977,TX,48,1994,1889615.2390501,2094135.1609509997,0.47433073092369904,0.525669269076301,19.0,0.6333333333333333,-4.5,-0.15,-0.054533645966493516,-4.0,-0.18467187148593522,-0.30460139270908354,0.02566926907630096,30
978,TX,48,1996,2030567.6061605,2202199.8938388,0.4797257600756092,0.5202742399243908,17.0,0.5666666666666667,-3.0,-0.1,-0.036259167675821546,-3.0,-0.10721514651544828,-0.20212309608437717,0.020274239924390813,30
979,TX,48,1998,1697649.808878,1837044.9279639,0.4802818730521488,0.5197181269478512,17.0,0.5666666666666667,-2.0,-0.06666666666666667,-0.095009389842872771,-2.0,-0.10610292056236903,-0.52598519843182112,0.01971812694785119,30
980,TX,48,2000,2924837.9923066,3206257.7219796,0.4770498013089848,0.5229501986910152,17.0,0.5666666666666667,-2.0,-0.06666666666666667,-0.064983922096852387,-2.0,-0.1125670640486971,-0.35005838120236105,0.022950198691015222,30
981,TX,48,2002,2129873.671124,2492963.1984425,0.46072871079349287,0.5392712892065071,16.0,0.5,-0.5,-0.015625,-0.024267756420839448,-1.0,-0.078542578413014263,-0.13465449713687949,0.03927128920650713,32
982,TX,48,2004,3159527.9951003003,4062727.3649001997,0.43747109976184523,0.5625289002381548,11.0,0.34375,2.0,0.0625,0.064968543395699352,4.0,0.031192199523690456,0.37187662557255974,0.06252890023815477,32
983,TX,48,2006,1972963.2249956,2318715.5898193,0.4597182851113927,0.5402817148886073,13.0,0.40625,2.0,0.0625,0.082907057600601797,3.0,0.013186570222785354,0.48899803620769366,0.04028171488860732,32
984,TX,48,2008,3547432.7508542994,4129468.5824800003,0.4620917472849097,0.5379082527150902,12.0,0.375,2.0,0.0625,0.055330549242917249,3.0,0.049183494569819408,0.30987539155392541,0.037908252715090296,32
985,TX,48,2010,1781988.0321879,2852706.1216586996,0.3844888083303028,0.6155111916696971,9.0,0.28125,-0.5,-0.015625,0.050645035296224938,1.0,-0.012272383339394399,0.28706511665204248,0.1155111916696972,32
986,TX,48,2012,3244958.0281395,4433074.358957,0.42262885392263927,0.5773711460773607,12.0,0.3333333333333333,0.0,0.0,0.071072967312362123,5.0,0.011924374511945279,0.36371565178006582,0.07737114607736073,36
987,TX,48,2014,1930003.2054675,2722871.5771409,0.41479801104502123,0.5852019889549788,11.0,0.3055555555555556,1.5,0.041666666666666664,0.071492869796507652,6.0,0.024040466534486882,0.35768594939640613,0.08520198895497877,36
988,TX,48,2016,3641674.6918790997,4923560.231199699,0.4251692714308049,0.5748307285691951,11.0,0.3055555555555556,-0.5,-0.013888888888888888,0.057775791240761265,5.0,0.044782987306054234,0.2960957474549496,0.07483072856919509,36
989,UT,49,1972,259859.0,203481.0,0.5608386929684465,0.43916130703155354,2.0,1.0,0.0,0.0,0.0,0.0,-0.37832261406310708,0.0,-0.06083869296844646,2
990,UT,49,1974,230532.0,163066.0,0.5857041956514006,0.41429580434859936,2.0,1.0,0.0,0.0,0.0,0.0,-0.32859160869719872,0.0,-0.08570419565140064,2
991,UT,49,1976,266562.0,251403.0,0.5146332281138687,0.4853667718861313,1.0,0.5,0.0,0.0,0.0,0.0,0.029266456227737381,0.0,-0.01463322811386869,2
992,UT,49,1978,162791.0,206520.0,0.4407965102582918,0.5592034897417082,1.0,0.5,0.0,0.0,0.0,0.0,-0.11840697948341639,0.0,0.05920348974170819,2
993,UT,49,1980,232426.0,351996.0,0.39770234522314357,0.6022976547768564,0.0,0.0,0.0,0.0,0.0,0.0,0.29540469044628714,0.0,0.10229765477685643,2
994,UT,49,1982,210859.9931417,311908.006858,0.4033529082534145,0.5966470917465855,0.0,0.0,0.0,0.0,0.025871335225445546,0.5,0.30670581650682904,0.51646683097245261,0.09664709174658548,3
