,State,cycle,AreaNumber,Mean,Stdv,Var
47,AZ,1990,6,0.46132850120000002,0.072418515775402037,0.0052444414271121537
48,AZ,2000,1,0.4748185104,0.0731871824284335,0.0053563636718128044
49,AZ,2000,2,0.37600845319999998,0.03025291094414426,0.00091523862059432362
50,AZ,2000,3,0.39515154899999999,0.060750872670605353,0.0036906685302401042
51,AZ,2000,4,0.73455735080000006,0.027987458433978527,0.00078329782959367573
52,AZ,2000,5,0.45741057499999993,0.077732131482837349,0.0060422842648651144
53,AZ,2000,6,0.32827349066666667,0.026065822832324208,0.0006794271199261141
54,AZ,2000,7,0.6172693629999999,0.050633014939158873,0.0025637022018290857
55,AZ,2000,8,0.4706513168,0.10325876497385779,0.0106623725439264
56,AZ,2010,1,0.52810477133333344,0.0098338315458669917,9.6704242872488804e-05
57,AZ,2010,2,0.4780822569999999,0.04134407341534968,0.0017093324065738243
58,AZ,2010,3,0.58431135550000002,0.037892288990693912,0.0014358255649542632
59,AZ,2010,4,0.28426892366666667,0.014366569604830738,0.00020639832221044645
60,AZ,2010,5,0.33045366466666665,0.027490898507668025,0.00075574950075890407
61,AZ,2010,6,0.36073086966666668,0.015563468755383563,0.00024222155969980041
62,AZ,2010,9,0.56591273133333342,0.043734874182424659,0.0019127392197525149
63,AR,1970,1,0.79726135750000005,0.15372302938122076,0.02363076976213966
64,AR,1970,2,0.53759145949999998,0.27016140640455005,0.072987185510484456
65,AR,1970,3,0.30813800033333333,0.15045540561943413,0.022636829080108448
66,AR,1980,1,0.64447530866666669,0.0032118941190846574,1.0316263832210608e-05
67,AR,1980,2,0.63787498259999997,0.15534452119453243,0.024131920265158539
68,AR,1980,3,0.27258847125000008,0.059042559638031566,0.0034860238486105143
69,AR,1980,4,0.72631622375000005,0.076890780626989161,0.0059121921454277715
70,AR,1990,1,0.5945052985,0.075484187112205753,0.0056978625039904888
71,AR,1990,2,0.59880496799999994,0.08308926293118292,0.006903825614447248
72,AR,1990,3,0.41211922599999995,0.082154465062547519,0.0067493561297133414
73,AR,1990,4,0.45160917500000003,0.05733526980573117,0.0032873331636959885
74,AR,2000,1,0.62076906524999997,0.11025444388118573,0.012156042395549535
75,AR,2000,2,0.52829631033333335,0.11353328642405761,0.012889807126247103
76,AR,2000,3,0.34813162733333325,0.063127363730155345,0.003985064051519333
77,AR,2000,4,0.64729318433333338,0.087020688216288958,0.0075726001776365726
78,AR,2010,1,0.37448874600000004,0.050740701340459105,0.002574618772521668
79,AR,2010,2,0.42021879033333337,0.035051546653463668,0.00122861092279994
80,AR,2010,4,0.4116431935,0.042869019653769797,0.0018377528460753012
81,CA,1970,1,0.52838022625000003,0.17271594523493541,0.029830797738397207
82,CA,1970,2,0.4950953354,0.11812548321417322,0.013953629784581919
83,CA,1970,3,0.68239512279999992,0.083603724499881085,0.0069895827502520162
84,CA,1970,4,0.60436388625000004,0.090872246711332344,0.0082577652223652532
85,CA,1970,5,0.64963633479999994,0.10680072679930488,0.011406395244859761
86,CA,1970,6,0.67882453819999999,0.11390340211224839,0.012973985012744551
87,CA,1970,7,0.6467771308000001,0.078777391175936518,0.0062058773604865202
88,CA,1970,8,0.58375826040000001,0.040214197319058557,0.0016171816660161763
89,CA,1970,9,0.68524231680000003,0.066179552241596579,0.00437973313489821
90,CA,1970,10,0.64619325260000005,0.16832667878834784,0.028333870791915627
91,CA,1970,11,0.63635514619999989,0.094035066151285332,0.0088425936660766081
92,CA,1970,12,0.30113509759999996,0.094165556231360317,0.0088671519803614814
93,CA,1970,13,0.54253753559999995,0.16430911764059158,0.026997486139829767
94,CA,1970,14,0.612912436,0.18890615666330887,0.035685536025302597
95,CA,1970,15,0.695912313,0.063870913819162933,0.0040794936320949389
96,CA,1970,16,0.6350496886,0.12943347897848032,0.016753025480472708
97,CA,1970,17,0.46440098919999995,0.13571493291683881,0.01841854301662206
98,CA,1970,18,0.37291156719999996,0.07018002191467973,0.0049252354759449267
99,CA,1970,19,0.38768326480000004,0.20291396617709048,0.041174077669717417
100,CA,1970,20,0.33099057500000001,0.094805773987722802,0.0089881347814111771
101,CA,1970,21,0.67673302199999996,0.12453976773807775,0.01551015374825435
102,CA,1970,22,0.44007582179999999,0.14988702518017633,0.022466120317362812
103,CA,1970,23,0.60517057020000009,0.12904355685874458,0.016652239566756048
104,CA,1970,24,0.59918871560000009,0.16896733335333958,0.028549959740538578
105,CA,1970,25,0.61708760649999994,0.19553604447429496,0.038234344688653457
106,CA,1970,26,0.43046944999999998,0.19765552497358646,0.039067706552584056
107,CA,1970,27,0.43656316640000004,0.060690030558339145,0.0036832798091721388
108,CA,1970,28,0.702434381,0.21388106087509656,0.045745108201056761
109,CA,1970,29,0.81795757149999992,0.11195624861769778,0.012534201604547754
110,CA,1970,30,0.7319208880000001,0.021156905492339832,0.00044761465001179936
111,CA,1970,31,0.64946556175000003,0.072784363527764587,0.0052975635741417887
112,CA,1970,32,0.62284322250000002,0.20020293048547128,0.040081213374970448
113,CA,1970,33,0.37546459500000001,0.096873806360685294,0.0093845343588075513
114,CA,1970,34,0.48477922619999997,0.1606054957202554,0.025794125255548975
115,CA,1970,35,0.5581332818000001,0.10992773327545451,0.012084106543079468
116,CA,1970,36,0.5872976216000001,0.087486875585090842,0.0076539533996411646
117,CA,1970,37,0.39612170959999993,0.2018077340274875,0.040726361513309141
118,CA,1970,38,0.58665269019999999,0.029272198607206,0.00085686161129971288
119,CA,1970,39,0.35589728119999997,0.074302296052452324,0.0055208311986662713
120,CA,1970,40,0.32439628279999999,0.061312990494584003,0.0037592828033889488
121,CA,1970,41,0.4949376484000001,0.13788594847988406,0.019012534788197241
122,CA,1970,42,0.59294670160000007,0.20042202734048872,0.040168989043271611
123,CA,1970,43,0.31333974380000001,0.10464574850744238,0.010950732680682878
124,CA,1980,1,0.60679811459999988,0.10145964971270852,0.010294060519825513
125,CA,1980,2,0.36932624660000002,0.048640871061307329,0.0023659343376027249
126,CA,1980,3,0.7018841956666666,0.063109545131640979,0.0039828146867226287
127,CA,1980,4,0.63696213425000003,0.04949565688063004,0.0024498200500450598
128,CA,1980,5,0.73690977520000001,0.084427506444850947,0.0071280038444953477
129,CA,1980,6,0.67772103040000009,0.080842593772911212,0.0065355249679319421
130,CA,1980,7,0.66245710140000003,0.033808077045296314,0.0011429860735006918
131,CA,1980,8,0.61392654060000007,0.043445692013734986,0.0018875281545523159
132,CA,1980,9,0.6688170094,0.068630989331381939,0.0047102126966042613
133,CA,1980,10,0.66217749599999998,0.04362435214568449,0.0019030841001306871
134,CA,1980,11,0.69623900699999997,0.06276345409775029,0.0039392511702804073
135,CA,1980,12,0.38564670159999997,0.049847814257867738,0.0024848045862868825
136,CA,1980,13,0.67013866200000005,0.031183607077112995,0.00097241735033977168
137,CA,1980,14,0.34762595679999997,0.095953631354453339,0.0092070993701063308
138,CA,1980,15,0.68324929999999995,0.032261561211782377,0.0010408083318215813
139,CA,1980,16,0.78645050039999997,0.049112405575332037,0.0024120283813959054
140,CA,1980,17,0.3927540242,0.11535565534467124,0.013306927219998578
141,CA,1980,18,0.6733680635,0.046273429899826454,0.0021412303146941532
142,CA,1980,19,0.37911566559999998,0.091262408329459033,0.0083288271740929141
143,CA,1980,20,0.30510914500000003,0.03832814623578841,0.0014690467938719815
144,CA,1980,21,0.29384479299999999,0.045458330228662122,0.0020664597871780967
145,CA,1980,22,0.27843624424999996,0.05774248774933885,0.0033341948914825475
146,CA,1980,23,0.63913822860000002,0.030176634509763819,0.00091062927033586853
147,CA,1980,24,0.70380067450000006,0.044624087698979402,0.0019913092029662047
148,CA,1980,25,0.75609800099999991,0.022278047895582402,0.00049631141803786348
149,CA,1980,26,0.64293456179999997,0.039380564573235445,0.0015508288661067668
150,CA,1980,27,0.62785192080000007,0.047530867980910621,0.0022591834110187543
151,CA,1980,28,0.78416361580000005,0.017229579231138492,0.00029685840048207886
152,CA,1980,29,0.83718060540000006,0.031004790465889262,0.00096129703183369763
153,CA,1980,30,0.59087553139999993,0.046151572174944769,0.002129967614219136
154,CA,1980,31,0.71149042699999998,0.024848125965870757,0.00061742936401578048
155,CA,1980,32,0.64510015580000002,0.048071406541702562,0.002310860126897644
156,CA,1980,33,0.29538897199999997,0.032128997321490729,0.0010322724688843583
157,CA,1980,34,0.60496224279999988,0.025577077763635495,0.00065418690692705739
158,CA,1980,35,0.29567078325000001,0.051486214571655538,0.0026508302909185552
159,CA,1980,36,0.55335653220000003,0.018009811244212175,0.0003243533010521513
160,CA,1980,37,0.38711470479999999,0.052232586234235392,0.0027282430647168369
161,CA,1980,38,0.44643433019999995,0.063922147264421789,0.0040860409108944258
162,CA,1980,39,0.2604551544,0.035449715649217894,0.0012566823396104043
163,CA,1980,40,0.32631583340000003,0.044459326073902163,0.0019766316749455569
164,CA,1980,41,0.3481479374,0.070442960658643389,0.0049622107063551808
165,CA,1980,42,0.30337358460000002,0.055966218646305479,0.0031322176295660708
166,CA,1980,43,0.26676144975000005,0.037897187347324703,0.0014361968088382273
167,CA,1980,44,0.63128254139999984,0.084759276773066689,0.0071841349990933211
168,CA,1980,45,0.24827094300000002,0.035599244645950177,0.0012673062193622122
169,CA,1990,1,0.56001859679999999,0.10893205539142768,0.011866192691801069
170,CA,1990,2,0.3202895134,0.03312986548003484,0.0010975879867252043
171,CA,1990,3,0.50503238380000004,0.063557620366518713,0.0040395711066545147
172,CA,1990,4,0.38028136820000003,0.057025738436034562,0.00325193484417503
173,CA,1990,5,0.72400972660000007,0.012419805526385289,0.00015425156931323056
174,CA,1990,6,0.66050917180000002,0.036845953370735401,0.0013576242797984073
175,CA,1990,7,0.75349203160000011,0.026162679118424174,0.00068448577865362842
176,CA,1990,8,0.86541592919999988,0.02648464951652953,0.00070143666001340791
177,CA,1990,9,0.81617940099999997,0.06244267643327861,0.0038990878401511282
178,CA,1990,10,0.49547014620000002,0.063273784172723141,0.0040035717635363488
179,CA,1990,11,0.39927605159999996,0.052220041972472667,0.0027269327836068071
180,CA,1990,12,0.74651426579999991,0.04332845569299159,0.0018773550727395354
181,CA,1990,13,0.69802649539999995,0.036303422076794184,0.0013179384544858672
182,CA,1990,14,0.66253742459999998,0.061422845675119846,0.0037727659708295886
183,CA,1990,15,0.51812289299999992,0.13270414695235938,0.017610390618353396
184,CA,1990,16,0.70140697239999994,0.051664523973909242,0.0026692230374506425
185,CA,1990,17,0.66008075479999995,0.088351642558122986,0.007806012742718328
186,CA,1990,18,0.67656247899999988,0.0045649098310283796,2.083840176541955e-05
187,CA,1990,19,0.38506054774999998,0.091697866128411631,0.0084084986525041015
188,CA,1990,20,0.58973610339999993,0.042658286815679319,0.00181972943404876
189,CA,1990,21,0.29517623074999999,0.03786409173907087,0.001433689443224775
190,CA,1990,22,0.50506573720000003,0.06391381196846474,0.0040849753603402665
191,CA,1990,23,0.38518002339999996,0.05720311605538108,0.0032721964864453968
192,CA,1990,24,0.58295692020000001,0.069882645010694744,0.004883584073690779
193,CA,1990,25,0.35248957424999994,0.026087758254770402,0.00068057113075934122
194,CA,1990,26,0.67547803299999998,0.01937119693075583,0.00037524327053012417
195,CA,1990,27,0.47443568760000004,0.0426742452189557,0.0018210912050075634
196,CA,1990,28,0.37861034739999999,0.039655976274537576,0.0015725964542866874
197,CA,1990,29,0.74149300460000001,0.039889479793416394,0.0015911705981893746
198,CA,1990,30,0.77856745279999995,0.073723275786995141,0.0054351213927653439
199,CA,1990,31,0.66992813174999999,0.074945167280398323,0.0056167780986868879
200,CA,1990,32,0.86068587600000002,0.030896446934108063,0.00095459043315215548
201,CA,1990,33,0.82002168749999993,0.097457104838467534,0.0094978872834960513
202,CA,1990,34,0.69398931240000006,0.050562841627222459,0.0025566009534195803
203,CA,1990,35,0.85037240324999996,0.048092497320332106,0.0023128882985061507
204,CA,1990,36,0.51567227139999994,0.023227030852788287,0.00053949496223637896
205,CA,1990,37,0.86006738766666668,0.016952182160984573,0.00028737648001920353
206,CA,1990,38,0.45137309419999994,0.040435386533922493,0.0016350204841477207
207,CA,1990,39,0.3455065182,0.035112807705984656,0.0012329092649974553
208,CA,1990,40,0.31540477725000005,0.017914898513450548,0.00032094358874723268
209,CA,1990,41,0.38538093900000003,0.028915946931997442,0.00083613198697409224
210,CA,1990,42,0.55197473139999997,0.052226161758540661,0.0027275719720292546
211,CA,1990,43,0.43124200425000003,0.044987942519981464,0.0020239149721811562
212,CA,1990,44,0.39910062299999999,0.019387715726948931,0.00037588352110898293
213,CA,1990,45,0.36210622840000001,0.041877675006059677,0.0017537396639131556
214,CA,1990,46,0.51423886680000008,0.097711268486519884,0.0095474919892447729
215,CA,1990,47,0.29999759000000004,0.024030654425774844,0.00057747235213101216
216,CA,1990,48,0.29045037024999998,0.041122535637645535,0.0016910629372694273
217,CA,1990,49,0.49632207540000001,0.038156947359168768,0.0014559526317703764
218,CA,1990,50,0.66135847474999998,0.039419028402505697,0.0015538598001975507
219,CA,1990,51,0.33175432040000002,0.03540455275112233,0.0012534823555070038
220,CA,1990,52,0.35089235024999998,0.058458147666801984,0.0034173550286336258
221,CA,2000,1,0.69533120319999997,0.032173775986396244,0.0010351518612228075
222,CA,2000,2,0.36502244159999997,0.055606815546478949,0.0030921179352201332
223,CA,2000,3,0.40753587819999992,0.055523192205999779,0.0030828248727443946
224,CA,2000,4,0.3991765504,0.083621069540134027,0.0069924832710359314
225,CA,2000,5,0.750629412,0.019933209799493378,0.00039733285291061884
226,CA,2000,6,0.71734016159999991,0.025328871552382788,0.00064155173411710605
227,CA,2000,7,0.73522165125000005,0.039455457968310521,0.0015567331634891181
228,CA,2000,8,0.86943336520000014,0.01738037272903201,0.00030207735620007962
229,CA,2000,9,0.87821592200000009,0.021751866701768888,0.00047314370501152212
230,CA,2000,10,0.65168960975000001,0.029884275305446285,0.0008930699105317067
231,CA,2000,11,0.47516130880000007,0.077530395859550461,0.0060109622821385997
232,CA,2000,12,0.76719531360000004,0.024965381513312668,0.000623270274105254
233,CA,2000,13,0.74944138999999999,0.017094608631776868,0.00029222564427362015
234,CA,2000,14,0.72981815960000007,0.021706716101587292,0.00047118152391490895
235,CA,2000,15,0.71083046640000003,0.033120660269918306,0.0010969781367153447
236,CA,2000,16,0.72651118479999999,0.020821367844459957,0.00043352935891431102
237,CA,2000,17,0.7228116121999999,0.033280494522827976,0.0011075913156839829
238,CA,2000,18,0.61405133000000001,0.061760868113196532,0.0038144048300956562
239,CA,2000,19,0.33682138850000004,0.046031679933442503,0.0021189155574948934
240,CA,2000,20,0.61114372599999989,0.1061443771450247,0.011266628799505242
241,CA,2000,21,0.29132490675,0.025064204816985219,0.00062821436310778504
242,CA,2000,22,0.26873428249999998,0.034274353103122338,0.001174731280637512
243,CA,2000,23,0.6380233862000001,0.032604470118575604,0.0010630514717130896
244,CA,2000,24,0.37536916540000004,0.036786701702480537,0.0013532614221472845
245,CA,2000,25,0.37138869779999995,0.036244173698520413,0.0013136401270885188
246,CA,2000,26,0.40506374960000002,0.03909074319716898,0.001528086203707013
247,CA,2000,27,0.66891250899999988,0.043619366614634607,0.0019026491438619002
248,CA,2000,28,0.76470374649999995,0.020066227047971272,0.0004026534679407339
249,CA,2000,29,0.68403042380000001,0.026437355233891194,0.00069893375176295419
250,CA,2000,30,0.7038866064999999,0.025593594713187794,0.0006550320903429143
251,CA,2000,31,0.81727555000000007,0.018727150423335732,0.00035070616297824375
252,CA,2000,32,0.71255011850000005,0.0030218936613991836,9.1318413008045626e-06
253,CA,2000,33,0.86354244066666663,0.011034929064876936,0.00012176965946686578
254,CA,2000,34,0.75930278400000006,0.015369960486331,0.00023623568535137629
255,CA,2000,35,0.82437433225000001,0.033053647557639024,0.0010925436168646163
256,CA,2000,36,0.65385127279999999,0.022274144507141876,0.00049613751352503858
257,CA,2000,37,0.76443705599999989,0.021384934059465198,0.00045731540472767468
258,CA,2000,38,0.73936416066666677,0.012267980913317676,0.00015050335568952679
259,CA,2000,39,0.63909989140000012,0.048806780233390669,0.0023821017967504943
260,CA,2000,40,0.32912887100000005,0.027393361902665846,0.00075039627633042465
261,CA,2000,41,0.34686363999999997,0.035413227253553684,0.0012540966645118376
262,CA,2000,42,0.33879197574999997,0.042859431088301349,0.0018369308332128523
263,CA,2000,43,0.66808372859999998,0.019854217399713332,0.00039418994855507957
264,CA,2000,44,0.40144868339999995,0.063517800489270179,0.0040345109789947306
265,CA,2000,45,0.3857060216,0.05132368310856518,0.0026341204478284187
266,CA,2000,46,0.38266104760000003,0.040779108012233833,0.0016629356502734336
267,CA,2000,47,0.63385471260000004,0.059600213056588851,0.0035521853963907842
268,CA,2000,48,0.361670995,0.050017523199523357,0.0025017526270148575
269,CA,2000,49,0.35726347324999996,0.024666196322625109,0.00060842124102628448
270,CA,2000,50,0.41002786480000009,0.054744332349002334,0.0029969419243380232
271,CA,2000,51,0.65486995539999993,0.065582109843973654,0.0043010131315870262
272,CA,2000,52,0.32602424539999997,0.054665697034396152,0.0029883384322563883
273,CA,2000,53,0.67429772660000009,0.038274663065215021,0.0014649498327557349
274,CA,2010,1,0.40844747800000003,0.018258949087708622,0.00033338922178753551
275,CA,2010,2,0.74361554866666657,0.028559503044287535,0.00081564521413666894
276,CA,2010,3,0.5543551183333334,0.034738655345700184,0.001206774175227344
277,CA,2010,4,0.38085479950000001,0.011389588834780679,0.00012972273382536072
278,CA,2010,5,0.75669816749999996,0.016952085341178019,0.00028737319741458267
279,CA,2010,6,0.74389525633333342,0.014844516656358692,0.00022035967476091063
280,CA,2010,7,0.51083060866666663,0.0064717038063395824,4.188295015699024e-05
281,CA,2010,8,0.35047563749999999,0.038104812762206626,0.0014519767556428248
282,CA,2010,9,0.55094667333333336,0.025261002397209666,0.00063811824211183255
283,CA,2010,10,0.46480811866666666,0.023324873737437388,0.00054404973486739633
284,CA,2010,11,0.69686161466666674,0.023897694286188327,0.00057109979219611821
285,CA,2010,12,0.8416880605,0.012940771809096746,0.00016746357501511307
286,CA,2010,13,0.89631660699999993,0.016304384721999254,0.00026583296116296267
287,CA,2010,14,0.78825217666666669,0.020850690098500158,0.00043475127758369251
288,CA,2010,15,0.71786060949999997,0.028011813812282595,0.00078466171305398595
289,CA,2010,16,0.55391551633333336,0.040481111297073095,0.0016387203718460188
290,CA,2010,18,0.69796189033333345,0.017984503093913706,0.00032344235153499161
291,CA,2010,19,0.73590104200000006,0.0050109588739259605,2.5109708836177329e-05
292,CA,2010,20,0.72410815750000002,0.023443983201777013,0.0005496203483652028
293,CA,2010,21,0.42556171833333334,0.0061218794880017859,3.7477408465617009e-05
294,CA,2010,22,0.32840053566666666,0.050898033632533271,0.002590609827658488
295,CA,2010,23,0.27992735950000003,0.040052693954476824,0.0016042182930109841
296,CA,2010,24,0.53481161599999993,0.0158598990525716,0.00025153639795776159
297,CA,2010,25,0.46045557850000002,0.011658502957879485,0.00013592069121888469
298,CA,2010,26,0.54800969099999997,0.048787904875422852,0.0023802596621333091
299,CA,2010,27,0.63585057199999995,0.040458510905581203,0.0016368911046970333
300,CA,2010,28,0.77237074249999993,0.010601017695547246,0.00011238157618130584
301,CA,2010,30,0.691391953,0.049486107234443952,0.0024488748092188861
302,CA,2010,31,0.53900641699999996,0.030644548428228616,0.00093908834837004899
303,CA,2010,32,0.62677875049999998,0.042739843972769004,0.0018266942628166391
304,CA,2010,33,0.62813544500000007,0.051283668838742462,0.0026300146895618043
305,CA,2010,36,0.56392455399999997,0.049423282340315212,0.0024426608372905135
306,CA,2010,37,0.85349407999999993,0.015104827565190901,0.00022815581577415088
307,CA,2010,38,0.65704410366666666,0.059129128017383757,0.0034962537800961565
308,CA,2010,39,0.38812168266666663,0.063775440393087149,0.0040673067973322112
309,CA,2010,41,0.60187374999999999,0.042863548173844267,0.0018372837620514683
310,CA,2010,42,0.38282051900000003,0.035921885455406664,0.0012903818546713569
311,CA,2010,43,0.73520503349999999,0.036256193805665908,0.001314511589274007
312,CA,2010,45,0.39287164466666669,0.038177026126695657,0.0014574853238784029
313,CA,2010,46,0.61786756300000001,0.029529098794615245,0.0008719676756221475
314,CA,2010,47,0.587567112,0.043090132565533408,0.0018567595245152428
315,CA,2010,48,0.38859903766666665,0.029044881459650868,0.00084360513900517075
316,CA,2010,49,0.43802337499999999,0.052379926579204469,0.002743656708442851
317,CA,2010,50,0.32552956666666666,0.038801026397053566,0.0015055196494648479
318,CA,2010,51,0.71007115166666657,0.020237804862173948,0.00040956874563943151
319,CA,2010,52,0.53097998599999996,0.029753769452901056,0.0008852867966563881
320,CA,2010,53,0.62425770166666661,0.041760820023606926,0.0017439660890440889
321,CO,1970,1,0.57639816339999994,0.046195099196069581,0.0021339871897347084
322,CO,1970,2,0.49343797020000002,0.092742223508187546,0.0086011200212426156
323,CO,1970,3,0.59108331599999997,0.09281811679517149,0.0086152028054020963
324,CO,1970,4,0.41130826100000001,0.077491736900502262,0.0060049692878566645
325,CO,1970,5,0.34582298180000004,0.053577461639552813,0.0028705443957377534
326,CO,1980,1,0.65350956559999995,0.035871197906598588,0.0012867428392543628
327,CO,1980,2,0.58338645220000007,0.053161156731958238,0.0028261085850798287
328,CO,1980,3,0.59602319259999992,0.14691348065112581,0.021583570797028714
329,CO,1980,4,0.32227856119999998,0.078077508207432811,0.0060960972878817375
330,CO,1980,5,0.29621168499999995,0.072457758022939703,0.005250126697710882
331,CO,1980,6,0.35510215624999997,0.010550664000287665,0.0001113165108469661
332,CO,1990,1,0.65610850139999999,0.058635575792764842,0.0034381307485490701
333,CO,1990,2,0.5833485558,0.050121624876705559,0.0025121772802811897
334,CO,1990,3,0.33756964280000001,0.059989949734538757,0.0035987940691524869
335,CO,1990,4,0.37726906225000001,0.067295629146214286,0.0045287017021848055
336,CO,1990,5,0.26971326966666664,0.0095438350058157494,9.1084786618234116e-05
337,CO,1990,6,0.38383244699999997,0.060120193638704945,0.0036144376831553785
338,CO,2000,1,0.723765608,0.032125517029992827,0.0010320488444443591
339,CO,2000,2,0.65336945739999996,0.044094326820245243,0.0019443096577305989
340,CO,2000,3,0.51327055279999989,0.12383845845329329,0.015335963792088047
341,CO,2000,4,0.47746293419999997,0.051948694025675812,0.0026986668109732861
342,CO,2000,5,0.3265581534,0.06299243440656134,0.0039680467924649333
343,CO,2000,6,0.36570776760000001,0.045027261608126153,0.0020274542879266315
344,CO,2000,7,0.54020789820000004,0.074165973594333287,0.0055005916391953416
345,CO,2010,1,0.70754560533333333,0.01213190289400198,0.0001471830678294936
346,CO,2010,2,0.58766035466666666,0.018878919044907863,0.00035641358430418487
347,CO,2010,3,0.41382328599999996,0.028848137783995087,0.00083221505360436495
348,CO,2010,4,0.34330086433333334,0.038583932975214591,0.0014887198838358516
349,CO,2010,5,0.366641987,0.050032242571106972,0.0025032252966940885
350,CO,2010,6,0.46592237933333336,0.020104355426797817,0.00040418510712701477
351,CO,2010,7,0.56639999066666669,0.01515874002834394,0.00022978739924691687
352,CT,1970,1,0.60434237160000004,0.028288317299988843,0.00080022889566484811
353,CT,1970,2,0.56613204000000006,0.14048573894455624,0.019736242846798008
354,CT,1970,3,0.56536305080000004,0.075488368184690111,0.0056984937311873336
355,CT,1970,4,0.39938897780000004,0.038374888676276676,0.001472632080916628
356,CT,1970,5,0.46651213719999995,0.077719638301544866,0.0060403421777229602
357,CT,1970,6,0.60831813300000004,0.031008443974627854,0.00096152359772763458
358,CT,1980,1,0.70733557660000002,0.058982185149498788,0.0034788981650097557
359,CT,1980,2,0.60301554199999996,0.052629554772239108,0.002769870035524116
360,CT,1980,3,0.58284618880000005,0.090386286543759339,0.0081696807951705704
361,CT,1980,4,0.34008662280000002,0.10170146458956635,0.010343187899662818
362,CT,1980,5,0.43531582359999998,0.11954476131733272,0.014290949958418047
363,CT,1980,6,0.35785910059999998,0.080459041444363735,0.0064736573501458419
364,CT,1990,1,0.69675471000000011,0.067898291595145613,0.0046101780015394217
365,CT,1990,2,0.53372418300000002,0.057336717728241685,0.0032874991998480645
366,CT,1990,3,0.69098585639999999,0.042197623075900637,0.001780639393255782
367,CT,1990,4,0.32532788159999998,0.071728634484598236,0.005144997005025095
368,CT,1990,5,0.49373041620000002,0.053135863661029188,0.0028234200070034825
