,State,year,contestedFrac
325,IA,1978,1.0
326,IA,1980,1.0
327,IA,1982,1.0
328,IA,1984,1.0
329,IA,1986,1.0
330,IA,1988,1.0
331,IA,1990,0.5
332,IA,1992,0.8
333,IA,1994,1.0
334,IA,1996,1.0
335,IA,1998,0.8
336,IA,2000,1.0
337,IA,2002,1.0
338,IA,2004,1.0
339,IA,2006,1.0
340,IA,2008,1.0
341,IA,2010,1.0
342,IA,2012,1.0
343,IA,2014,1.0
344,IA,2016,1.0
345,KS,1972,1.0
346,KS,1974,1.0
347,KS,1976,1.0
348,KS,1978,0.6
349,KS,1980,1.0
350,KS,1982,1.0
351,KS,1984,1.0
352,KS,1986,0.8
353,KS,1988,0.8
354,KS,1990,1.0
355,KS,1992,1.0
356,KS,1994,1.0
357,KS,1996,1.0
358,KS,1998,1.0
359,KS,2000,0.75
360,KS,2002,0.75
361,KS,2004,0.75
362,KS,2006,1.0
363,KS,2008,1.0
364,KS,2010,1.0
365,KS,2012,0.5
366,KS,2014,1.0
367,KS,2016,0.75
368,KY,1972,1.0
369,KY,1974,1.0
370,KY,1976,0.8571428571428571
371,KY,1978,0.7142857142857143
372,KY,1980,0.7142857142857143
373,KY,1982,0.8571428571428571
374,KY,1984,0.8571428571428571
375,KY,1986,0.5714285714285714
376,KY,1988,0.7142857142857143
377,KY,1990,0.5714285714285714
378,KY,1992,1.0
379,KY,1994,1.0
380,KY,1996,0.8333333333333334
381,KY,1998,1.0
382,KY,2000,1.0
383,KY,2002,0.8333333333333334
384,KY,2004,0.8333333333333334
385,KY,2006,0.8333333333333334
386,KY,2008,0.8333333333333334
387,KY,2010,1.0
388,KY,2012,1.0
389,KY,2014,1.0
390,KY,2016,0.6666666666666666
391,LA,1972,0.25
392,LA,1974,0.375
393,LA,1976,0.625
394,LA,1978,0.625
395,LA,1980,0.5
396,LA,1982,0.125
397,LA,1984,0.25
398,LA,1986,0.375
399,LA,1988,0.625
400,LA,1990,0.5
401,LA,1992,0.14285714285714285
402,LA,1994,0.8571428571428571
403,LA,1996,0.42857142857142855
404,LA,1998,0.14285714285714285
405,LA,2000,0.5714285714285714
406,LA,2002,0.42857142857142855
407,LA,2004,0.8571428571428571
408,LA,2006,0.7142857142857143
409,LA,2008,0.7142857142857143
410,LA,2010,0.7142857142857143
411,LA,2012,0.3333333333333333
412,LA,2014,0.5
413,LA,2016,0.6666666666666666
414,ME,1972,1.0
415,ME,1974,1.0
416,ME,1976,1.0
417,ME,1978,1.0
418,ME,1980,1.0
419,ME,1982,1.0
420,ME,1984,1.0
421,ME,1986,1.0
422,ME,1988,1.0
423,ME,1990,1.0
424,ME,1992,1.0
425,ME,1994,1.0
426,ME,1996,1.0
427,ME,1998,1.0
428,ME,2000,1.0
429,ME,2002,1.0
430,ME,2004,1.0
431,ME,2006,1.0
432,ME,2008,1.0
433,ME,2010,1.0
434,ME,2012,1.0
435,ME,2014,1.0
436,ME,2016,1.0
437,MD,1972,1.0
438,MD,1974,0.875
439,MD,1976,0.875
440,MD,1978,0.75
441,MD,1980,1.0
442,MD,1982,1.0
443,MD,1984,0.875
444,MD,1986,1.0
445,MD,1988,0.875
446,MD,1990,1.0
447,MD,1992,0.875
448,MD,1994,1.0
449,MD,1996,1.0
450,MD,1998,1.0
451,MD,2000,1.0
452,MD,2002,1.0
453,MD,2004,1.0
454,MD,2006,0.75
455,MD,2008,1.0
456,MD,2010,1.0
457,MD,2012,1.0
458,MD,2014,1.0
459,MD,2016,1.0
460,MA,1972,0.5
461,MA,1974,0.5
462,MA,1976,0.6666666666666666
463,MA,1978,0.5
464,MA,1980,0.75
465,MA,1982,0.6363636363636364
466,MA,1984,0.7272727272727273
467,MA,1986,0.36363636363636365
468,MA,1988,0.5454545454545454
469,MA,1990,0.5454545454545454
470,MA,1992,0.9
471,MA,1994,0.7
472,MA,1996,0.9
473,MA,1998,0.7
474,MA,2000,0.5
475,MA,2002,0.4
476,MA,2004,0.5
477,MA,2006,0.3
478,MA,2008,0.4
479,MA,2010,0.9
480,MA,2012,0.6666666666666666
481,MA,2014,0.3333333333333333
482,MA,2016,0.4444444444444444
483,MI,1972,1.0
484,MI,1974,1.0
485,MI,1976,1.0
486,MI,1978,0.9473684210526315
487,MI,1980,0.8947368421052632
488,MI,1982,0.8333333333333334
489,MI,1984,0.8888888888888888
490,MI,1986,1.0
491,MI,1988,0.9444444444444444
492,MI,1990,0.9444444444444444
493,MI,1992,0.9375
494,MI,1994,1.0
495,MI,1996,1.0
496,MI,1998,0.9375
497,MI,2000,1.0
498,MI,2002,0.8666666666666667
499,MI,2004,1.0
500,MI,2006,0.8666666666666667
501,MI,2008,0.9333333333333333
502,MI,2010,1.0
503,MI,2012,1.0
504,MI,2014,1.0
505,MI,2016,1.0
506,MN,1972,1.0
507,MN,1974,1.0
508,MN,1976,0.875
509,MN,1978,0.875
510,MN,1980,1.0
511,MN,1982,1.0
512,MN,1984,1.0
513,MN,1986,1.0
514,MN,1988,1.0
515,MN,1990,1.0
516,MN,1992,1.0
517,MN,1994,1.0
518,MN,1996,1.0
519,MN,1998,1.0
520,MN,2000,1.0
521,MN,2002,1.0
522,MN,2004,1.0
523,MN,2006,1.0
524,MN,2008,1.0
525,MN,2010,1.0
526,MN,2012,1.0
527,MN,2014,1.0
528,MN,2016,1.0
529,MS,1972,0.6
530,MS,1974,0.6
531,MS,1976,0.8
532,MS,1978,0.8
533,MS,1980,0.8
534,MS,1982,0.8
535,MS,1984,0.6
536,MS,1986,0.8
537,MS,1988,1.0
538,MS,1990,0.8
539,MS,1992,1.0
540,MS,1994,1.0
541,MS,1996,1.0
542,MS,1998,0.6
543,MS,2000,1.0
544,MS,2002,1.0
545,MS,2004,0.5
546,MS,2006,0.75
547,MS,2008,1.0
548,MS,2010,1.0
549,MS,2012,0.75
550,MS,2014,0.75
551,MS,2016,1.0
552,MO,1972,1.0
553,MO,1974,1.0
554,MO,1976,1.0
555,MO,1978,1.0
556,MO,1980,1.0
557,MO,1982,1.0
558,MO,1984,0.8888888888888888
559,MO,1986,0.8888888888888888
560,MO,1988,1.0
561,MO,1990,1.0
562,MO,1992,1.0
563,MO,1994,1.0
564,MO,1996,1.0
565,MO,1998,1.0
566,MO,2000,1.0
567,MO,2002,1.0
568,MO,2004,1.0
569,MO,2006,1.0
570,MO,2008,0.8888888888888888
571,MO,2010,0.8888888888888888
572,MO,2012,1.0
573,MO,2014,1.0
574,MO,2016,1.0
575,MT,1972,1.0
576,MT,1974,1.0
577,MT,1976,1.0
578,MT,1978,1.0
579,MT,1980,1.0
580,MT,1982,1.0
581,MT,1984,1.0
582,MT,1986,1.0
583,MT,1988,1.0
584,MT,1990,1.0
585,MT,1992,1.0
586,MT,1994,1.0
587,MT,1996,1.0
588,MT,1998,1.0
589,MT,2000,1.0
590,MT,2002,1.0
591,MT,2004,1.0
592,MT,2006,1.0
593,MT,2008,1.0
594,MT,2010,1.0
595,MT,2012,1.0
596,MT,2014,1.0
597,MT,2016,1.0
598,NE,1972,1.0
599,NE,1974,1.0
600,NE,1976,1.0
601,NE,1978,1.0
602,NE,1980,1.0
603,NE,1982,0.6666666666666666
604,NE,1984,1.0
605,NE,1986,1.0
606,NE,1988,1.0
607,NE,1990,1.0
608,NE,1992,1.0
609,NE,1994,1.0
610,NE,1996,1.0
611,NE,1998,0.6666666666666666
612,NE,2000,1.0
613,NE,2002,0.3333333333333333
614,NE,2004,1.0
615,NE,2006,1.0
616,NE,2008,1.0
617,NE,2010,1.0
618,NE,2012,1.0
619,NE,2014,1.0
620,NE,2016,0.6666666666666666
621,NV,1972,1.0
622,NV,1974,1.0
623,NV,1976,1.0
624,NV,1978,1.0
625,NV,1980,1.0
626,NV,1982,1.0
627,NV,1984,1.0
628,NV,1986,1.0
629,NV,1988,1.0
630,NV,1990,1.0
631,NV,1992,1.0
632,NV,1994,1.0
633,NV,1996,1.0
634,NV,1998,0.5
635,NV,2000,1.0
636,NV,2002,1.0
637,NV,2004,1.0
638,NV,2006,1.0
639,NV,2008,1.0
640,NV,2010,1.0
641,NV,2012,1.0
642,NV,2014,1.0
643,NV,2016,1.0
644,NH,1972,1.0
645,NH,1974,1.0
646,NH,1976,1.0
647,NH,1978,1.0
648,NH,1980,1.0
649,NH,1982,1.0
650,NH,1984,1.0
651,NH,1986,1.0
652,NH,1988,1.0
653,NH,1990,1.0
654,NH,1992,1.0
655,NH,1994,1.0
656,NH,1996,1.0
657,NH,1998,1.0
658,NH,2000,1.0
659,NH,2002,1.0
660,NH,2004,1.0
661,NH,2006,1.0
662,NH,2008,1.0
663,NH,2010,1.0
664,NH,2012,1.0
665,NH,2014,1.0
666,NH,2016,1.0
667,NJ,1972,1.0
668,NJ,1974,1.0
669,NJ,1976,1.0
670,NJ,1978,1.0
671,NJ,1980,1.0
672,NJ,1982,1.0
673,NJ,1984,1.0
674,NJ,1986,0.9285714285714286
675,NJ,1988,0.9285714285714286
676,NJ,1990,0.8571428571428571
677,NJ,1992,1.0
678,NJ,1994,1.0
679,NJ,1996,1.0
680,NJ,1998,1.0
681,NJ,2000,1.0
682,NJ,2002,0.9230769230769231
683,NJ,2004,0.9230769230769231
684,NJ,2006,0.8461538461538461
685,NJ,2008,0.9230769230769231
686,NJ,2010,1.0
687,NJ,2012,1.0
688,NJ,2014,1.0
689,NJ,2016,1.0
690,NM,1972,1.0
691,NM,1974,1.0
692,NM,1976,1.0
693,NM,1978,0.5
694,NM,1980,1.0
695,NM,1982,1.0
696,NM,1984,1.0
697,NM,1986,1.0
698,NM,1988,0.6666666666666666
