,State,cycle,AreaNumber,avgDemVote,avgRepVote
235,CA,2000,4,119389.0,175585.60000000001
236,CA,2000,5,124973.60000000001,40910.800000000003
237,CA,2000,6,188250.20000000001,73227.0
238,CA,2000,7,139440.0,49248.5
239,CA,2000,8,174617.79999999999,26052.400000000001
240,CA,2000,9,187616.60000000001,25473.599999999999
241,CA,2000,10,160853.25,85451.75
242,CA,2000,11,112470.2,122141.2
243,CA,2000,12,153717.0,45676.199999999997
244,CA,2000,13,125392.60000000001,41890.800000000003
245,CA,2000,14,156487.60000000001,57506.800000000003
246,CA,2000,15,130904.60000000001,52269.400000000001
247,CA,2000,16,110568.60000000001,40923.199999999997
248,CA,2000,17,131796.20000000001,50719.199999999997
249,CA,2000,18,75987.0,46687.0
250,CA,2000,19,63277.5,125050.75
251,CA,2000,20,61975.5,38543.5
252,CA,2000,21,48303.25,116744.25
253,CA,2000,22,47107.0,126875.5
254,CA,2000,23,129512.8,72186.199999999997
255,CA,2000,24,91290.399999999994,149520.79999999999
256,CA,2000,25,70787.800000000003,116661.0
257,CA,2000,26,81922.600000000006,117074.60000000001
258,CA,2000,27,109300.0,53184.800000000003
259,CA,2000,28,89331.25,27729.0
260,CA,2000,29,110258.39999999999,50213.800000000003
261,CA,2000,30,163058.25,68576.5
262,CA,2000,31,73431.666666666672,16487.333333333332
263,CA,2000,32,68144.5,27531.5
264,CA,2000,33,138897.66666666666,21525.666666666668
265,CA,2000,34,71272.0,22469.400000000001
266,CA,2000,35,111814.75,22853.75
267,CA,2000,36,126233.2,66062.199999999997
268,CA,2000,37,89355.666666666672,27091.0
269,CA,2000,38,74413.333333333328,26209.666666666668
270,CA,2000,39,86283.199999999997,47542.199999999997
271,CA,2000,40,60507.800000000003,121082.39999999999
272,CA,2000,41,66999.5,122107.5
273,CA,2000,42,72628.5,137918.25
274,CA,2000,43,72656.0,35819.199999999997
275,CA,2000,44,76353.199999999997,108485.60000000001
276,CA,2000,45,76687.800000000003,120380.0
277,CA,2000,46,86084.600000000006,137188.20000000001
278,CA,2000,47,58405.800000000003,33008.199999999997
279,CA,2000,48,86646.399999999994,149831.39999999999
280,CA,2000,49,70284.0,124969.25
281,CA,2000,50,99502.0,139577.39999999999
282,CA,2000,51,96760.0,49144.0
283,CA,2000,52,72302.399999999994,146048.0
284,CA,2000,53,116471.39999999999,54597.599999999999
285,CA,2010,1,112764.66666666667,162109.0
286,CA,2010,2,214511.33333333334,74094.0
287,CA,2010,3,119539.66666666667,94191.666666666672
288,CA,2010,4,128365.0,208968.0
289,CA,2010,5,213699.0,68555.0
290,CA,2010,6,145080.0,49234.0
291,CA,2010,7,128631.66666666667,122761.33333333333
292,CA,2010,8,60045.5,107226.0
293,CA,2010,9,105003.66666666667,83808.333333333328
294,CA,2010,10,90175.666666666672,101839.33333333333
295,CA,2010,11,177704.33333333334,75879.0
296,CA,2010,12,206888.0,38337.5
297,CA,2010,13,230804.0,25847.0
298,CA,2010,14,183282.33333333334,48009.666666666664
299,CA,2010,15,149167.0,56884.5
300,CA,2010,16,76133.0,59409.0
301,CA,2010,17,159392.0,57336.0
302,CA,2010,18,192117.0,81966.333333333328
303,CA,2010,19,172051.0,61687.0
304,CA,2010,20,176988.0,67688.5
305,CA,2010,21,46623.666666666664,62732.333333333336
306,CA,2010,22,65018.333333333336,129064.66666666667
307,CA,2010,23,54097.0,133716.5
308,CA,2010,24,142003.66666666666,122697.33333333333
309,CA,2010,25,114694.0,134174.0
310,CA,2010,26,131832.0,106191.66666666667
311,CA,2010,27,132965.33333333334,73441.333333333328
312,CA,2010,28,199793.0,58767.0
313,CA,2010,29,50096.0,17045.0
314,CA,2010,30,145923.5,61320.0
315,CA,2010,31,86346.0,71514.0
316,CA,2010,32,87628.0,49630.5
317,CA,2010,33,163864.0,92761.0
318,CA,2010,34,120367.0,20223.0
319,CA,2010,35,124044.0,47309.0
320,CA,2010,36,109073.0,82559.666666666672
321,CA,2010,37,151913.0,25296.0
322,CA,2010,38,122354.0,59539.666666666664
323,CA,2010,39,86981.666666666672,129234.33333333333
324,CA,2010,40,222882.33333333334,28078.333333333332
325,CA,2010,41,92896.666666666672,59056.333333333336
326,CA,2010,42,76080.333333333328,118110.66666666667
327,CA,2010,43,118349.0,40510.0
328,CA,2010,44,222882.33333333334,28078.333333333332
329,CA,2010,45,102621.33333333333,153372.66666666666
330,CA,2010,46,72716.0,43849.0
331,CA,2010,47,117981.0,80779.0
332,CA,2010,48,101262.0,155975.66666666666
333,CA,2010,49,111380.33333333333,137924.66666666666
334,CA,2010,50,77467.666666666672,155590.66666666666
335,CA,2010,51,105156.33333333333,41801.0
336,CA,2010,52,143843.33333333334,125536.0
337,CA,2010,53,150305.66666666666,87463.333333333328
338,CO,1970,1,97911.600000000006,73362.399999999994
339,CO,1970,2,106877.60000000001,107623.0
340,CO,1970,3,93740.199999999997,65821.600000000006
341,CO,1970,4,77684.399999999994,115670.39999999999
342,CO,1970,5,59364.0,117115.2
343,CO,1980,1,108705.60000000001,57297.199999999997
344,CO,1980,2,112738.0,80582.800000000003
345,CO,1980,3,114314.2,77234.600000000006
346,CO,1980,4,57267.400000000001,122919.0
347,CO,1980,5,54472.0,135727.60000000001
348,CO,1980,6,61387.75,111266.75
349,CO,1990,1,124168.39999999999,64232.599999999999
350,CO,1990,2,137258.60000000001,96956.199999999997
351,CO,1990,3,84652.0,165577.20000000001
352,CO,1990,4,84242.25,136116.25
353,CO,1990,5,63939.666666666664,172563.66666666666
354,CO,1990,6,84520.800000000003,132980.39999999999
355,CO,2000,1,158156.0,58909.0
356,CO,2000,2,170724.79999999999,90003.600000000006
357,CO,2000,3,138543.79999999999,125945.60000000001
358,CO,2000,4,124931.2,133142.60000000001
359,CO,2000,5,76836.399999999994,156144.60000000001
360,CO,2000,6,117200.8,199742.39999999999
361,CO,2000,7,115643.2,97002.800000000003
362,CO,2010,1,226038.0,92976.333333333328
363,CO,2010,2,230411.0,160761.66666666666
364,CO,2010,3,131399.33333333334,184174.0
365,CO,2010,4,111056.33333333333,211151.0
366,CO,2010,5,108674.5,191313.5
367,CO,2010,6,145385.33333333334,166343.66666666666
368,CO,2010,7,176814.33333333334,134683.33333333334
369,CT,1970,1,123363.2,81203.600000000006
370,CT,1970,2,111264.0,88098.199999999997
371,CT,1970,3,111577.8,88378.199999999997
372,CT,1970,4,72305.600000000006,110820.39999999999
373,CT,1970,5,98782.199999999997,114672.2
374,CT,1970,6,132042.20000000001,86016.800000000003
375,CT,1980,1,141301.0,59139.0
376,CT,1980,2,115400.8,76633.800000000003
377,CT,1980,3,114462.0,82482.199999999997
378,CT,1980,4,59175.599999999999,118008.2
379,CT,1980,5,83714.600000000006,111562.60000000001
380,CT,1980,6,73848.399999999994,132910.79999999999
381,CT,1990,1,142241.39999999999,60928.599999999999
382,CT,1990,2,105748.2,94231.0
383,CT,1990,3,138252.60000000001,62101.599999999999
384,CT,1990,4,58998.0,118624.60000000001
385,CT,1990,5,93122.800000000003,94284.800000000003
386,CT,1990,6,75435.800000000003,129683.2
387,CT,2000,1,167594.39999999999,70903.0
388,CT,2000,2,144270.79999999999,121051.2
389,CT,2000,3,169273.60000000001,60198.599999999999
390,CT,2000,4,114820.0,124216.8
391,CT,2000,5,124648.0,119806.8
392,CT,2010,1,181161.33333333334,88868.0
393,CT,2010,2,185158.0,93363.0
394,CT,2010,3,190543.33333333334,79655.333333333328
395,CT,2010,4,156871.0,111716.33333333333
396,CT,2010,5,146304.66666666666,122068.33333333333
397,DE,1970,1,79048.199999999997,114254.2
398,DE,1980,1,124313.2,75157.199999999997
399,DE,1990,1,79283.199999999997,161636.20000000001
400,DE,2000,1,116853.8,183071.79999999999
401,DE,2010,1,206912.66666666666,129068.0
402,FL,1970,1,102718.5,62827.0
403,FL,1970,2,125450.5,41368.0
404,FL,1970,3,103056.5,26713.5
405,FL,1970,4,107084.5,56599.5
406,FL,1970,5,100108.39999999999,115143.0
407,FL,1970,6,51440.0,141879.25
408,FL,1970,7,109066.33333333333,49693.333333333336
409,FL,1970,8,101831.0,62443.5
410,FL,1970,9,72974.0,82885.75
411,FL,1970,10,66871.5,166873.75
412,FL,1970,11,147072.0,104672.0
413,FL,1970,12,86075.0,94876.0
414,FL,1970,13,115969.33333333333,45201.666666666664
415,FL,1970,14,72859.399999999994,31440.0
416,FL,1970,15,104221.2,51207.0
417,FL,1980,1,102741.5,58804.25
418,FL,1980,2,91087.5,63520.0
419,FL,1980,3,79041.0,22849.5
420,FL,1980,4,109681.5,90294.5
421,FL,1980,5,56161.5,82223.0
422,FL,1980,6,110900.0,97532.75
423,FL,1980,7,95075.0,49225.666666666664
424,FL,1980,8,53966.0,176859.0
425,FL,1980,9,78482.0,148763.75
426,FL,1980,10,61247.333333333336,135054.66666666666
427,FL,1980,11,137200.0,82766.399999999994
428,FL,1980,12,73913.0,81893.0
429,FL,1980,13,75882.666666666672,183989.0
430,FL,1980,14,156780.79999999999,91111.800000000003
431,FL,1980,15,67220.666666666672,116448.33333333333
432,FL,1980,16,118637.25,61907.75
433,FL,1980,17,79569.0,22029.0
434,FL,1980,18,66406.75,41048.0
435,FL,1980,19,102441.8,53234.599999999999
436,FL,1990,1,85275.0,129732.0
437,FL,1990,2,152087.25,75078.0
438,FL,1990,3,84521.800000000003,60192.800000000003
439,FL,1990,4,99059.0,169486.5
440,FL,1990,5,149216.5,102186.0
441,FL,1990,6,77663.5,152861.0
442,FL,1990,7,83013.75,143054.75
443,FL,1990,8,76619.75,127010.75
444,FL,1990,9,91972.0,159868.0
445,FL,1990,10,86092.0,132024.5
446,FL,1990,11,92895.5,68704.0
447,FL,1990,12,80114.25,113603.75
448,FL,1990,13,103811.0,169490.0
449,FL,1990,14,63842.0,176992.0
450,FL,1990,15,108414.2,138076.20000000001
451,FL,1990,16,99373.0,157980.75
452,FL,1990,17,114638.0,14525.0
453,FL,1990,18,52142.0,104755.0
454,FL,1990,19,171215.0,86634.0
455,FL,1990,20,134943.33333333334,83294.0
456,FL,1990,21,28378.0,84018.0
457,FL,1990,22,87653.25,122760.75
458,FL,1990,23,91863.0,36448.0
459,FL,2000,1,71403.75,189396.0
460,FL,2000,2,168939.0,117612.25
461,FL,2000,3,91603.0,55839.5
462,FL,2000,4,90517.0,182935.5
463,FL,2000,5,124032.2,199747.0
464,FL,2000,6,107477.25,179402.5
465,FL,2000,7,103381.5,178998.5
466,FL,2000,8,103597.8,134812.60000000001
467,FL,2000,9,89276.25,168602.25
468,FL,2000,10,87337.75,164846.75
469,FL,2000,11,124301.33333333333,59032.0
470,FL,2000,12,107399.66666666667,155868.66666666666
471,FL,2000,13,121746.0,167405.39999999999
472,FL,2000,14,90176.75,197805.0
473,FL,2000,15,106470.2,166399.39999999999
474,FL,2000,16,109194.75,174784.25
475,FL,2000,17,131582.60000000001,43099.599999999999
476,FL,2000,18,63647.800000000003,113953.39999999999
477,FL,2000,19,163770.0,74189.0
478,FL,2000,20,145991.0,72529.0
479,FL,2000,21,72649.0,102005.0
480,FL,2000,22,113811.2,136833.60000000001
481,FL,2000,23,123082.66666666667,30610.333333333332
482,FL,2000,24,120900.25,139340.75
483,FL,2000,25,66220.75,87090.0
484,FL,2010,1,87338.666666666672,219544.33333333334
485,FL,2010,2,128843.66666666667,176760.33333333334
486,FL,2010,3,104238.66666666667,182288.33333333334
487,FL,2010,4,113088.0,287509.0
488,FL,2010,5,165787.0,79420.666666666672
489,FL,2010,6,132367.66666666666,191911.66666666666
490,FL,2010,7,128509.66666666667,167191.66666666666
491,FL,2010,8,117240.33333333333,210881.0
492,FL,2010,9,151350.66666666666,106089.66666666667
493,FL,2010,10,147163.66666666666,138425.0
494,FL,2010,11,111934.0,219294.66666666666
495,FL,2010,12,112440.0,231581.5
496,FL,2010,13,162217.5,180377.0
497,FL,2010,14,196455.0,102284.0
498,FL,2010,15,110153.5,155874.5
499,FL,2010,16,140891.33333333334,195642.33333333334
500,FL,2010,17,105001.0,172109.66666666666
501,FL,2010,18,159884.33333333334,155912.33333333334
502,FL,2010,19,104794.0,196137.33333333334
503,FL,2010,20,175706.0,41807.0
504,FL,2010,21,210606.0,118038.0
505,FL,2010,22,165179.33333333334,123824.0
506,FL,2010,23,153566.33333333334,96811.0
507,FL,2010,24,129192.0,15239.0
508,FL,2010,25,95319.0,157921.0
509,FL,2010,26,109831.0,113466.0
510,FL,2010,27,107390.0,148202.5
511,GA,1970,1,64958.0,10485.0
512,GA,1970,2,92264.0,33107.0
513,GA,1970,3,80306.0,10641.0
514,GA,1970,4,76315.600000000006,53996.800000000003
515,GA,1970,5,78390.199999999997,38532.400000000001
516,GA,1970,6,58167.75,65464.25
517,GA,1970,7,70918.600000000006,47320.400000000001
518,GA,1970,8,84579.0,37880.666666666664
519,GA,1970,9,85045.25,30001.75
520,GA,1970,10,74010.0,23204.0
521,GA,1980,1,91688.25,36085.75
522,GA,1980,2,81469.5,40794.0
523,GA,1980,3,86216.0,32836.0
524,GA,1980,4,93189.199999999997,82510.800000000003
525,GA,1980,5,91931.0,24917.25
526,GA,1980,6,61698.0,88705.399999999994
527,GA,1980,7,99548.399999999994,62780.800000000003
528,GA,1980,8,81799.0,24966.0
529,GA,1980,9,103483.25,56666.0
530,GA,1980,10,95795.666666666672,56473.0
531,GA,1990,1,53100.75,108255.0
532,GA,1990,2,84762.199999999997,61295.800000000003
533,GA,1990,3,76736.5,119818.75
534,GA,1990,4,111348.60000000001,92793.199999999997
535,GA,1990,5,119762.25,41360.5
536,GA,1990,6,93012.600000000006,174781.79999999999
537,GA,1990,7,86136.399999999994,95696.600000000006
538,GA,1990,8,75703.199999999997,94160.600000000006
539,GA,1990,9,80547.75,112797.5
540,GA,1990,10,75797.0,99399.600000000006
541,GA,1990,11,81544.5,87121.0
542,GA,2000,1,53396.75,120445.5
543,GA,2000,2,115900.25,64909.0
544,GA,2000,3,93098.399999999994,135617.60000000001
545,GA,2000,4,128404.5,51049.0
546,GA,2000,5,130782.0,46622.0
547,GA,2000,6,67629.333333333328,179895.66666666666
548,GA,2000,7,74458.75,159958.0
549,GA,2000,8,88641.0,133830.60000000001
550,GA,2000,9,56053.25,166840.0
551,GA,2000,10,79525.0,144349.33333333334
552,GA,2000,11,74498.75,128140.75
553,GA,2000,12,100922.39999999999,81821.800000000003
554,GA,2000,13,129810.75,61816.5
555,GA,2010,1,76787.0,126259.0
556,GA,2010,2,135885.66666666666,84334.333333333328
557,GA,2010,3,95969.0,207218.0
558,GA,2010,4,214503.5,72817.0
559,GA,2010,5,244055.5,45051.5
560,GA,2010,6,100256.0,176591.66666666666
561,GA,2010,7,89903.0,148109.0
562,GA,2010,8,83225.0,173983.0
563,GA,2010,9,47520.0,169080.0
564,GA,2010,10,65777.0,130703.0
565,GA,2010,11,97868.0,207451.5
566,GA,2010,12,104682.0,123600.33333333333
567,GA,2010,13,201988.0,79550.0
568,GA,2010,14,59245.0,159947.0
569,HI,1970,1,77647.199999999997,41647.400000000001
570,HI,1970,2,102290.0,37887.75
571,HI,1980,1,87990.25,70030.25
572,HI,1980,2,118120.66666666667,36665.333333333336
573,HI,1990,1,107205.60000000001,62429.0
574,HI,1990,2,124434.60000000001,51003.800000000003
575,HI,2000,1,124298.39999999999,57026.199999999997
576,HI,2000,2,127786.39999999999,61961.199999999997
577,HI,2010,1,118437.33333333333,76412.0
