,Unnamed: 0,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,margin,ndist
229,229,GA,13,2016,1797953.94411,2232207.38922,0.446124558152,0.553875441848,4.0,0.285714285714,2.5,0.178571428571,0.0654302403278,0.0538754418482,14
714,714,NY,36,1974,2986032.53112,2054953.763,0.592350852968,0.407649147032,27.0,0.692307692308,-2.5,-0.0641025641026,0.0273933371246,-0.0923508529679,39
715,715,NY,36,1976,3684456.14386,2495122.53261,0.596230962782,0.403769037218,28.0,0.717948717949,-3.0,-0.0769230769231,-0.0364054115664,-0.0962309627816,39
722,722,NY,36,1990,2102191.56141,1685404.79574,0.55501995545,0.44498004455,21.0,0.617647058824,-2.5,-0.0735294117647,-0.0386200880904,-0.0550199554503,34
728,728,NY,36,2002,2255720.23874,1830387.67036,0.552046174238,0.447953825762,19.0,0.655172413793,-3.0,-0.103448275862,-0.0593540491366,-0.0520461742375,29
731,731,NY,36,2008,4378180.35745,2138706.08699,0.671820875624,0.328179124376,26.0,0.896551724138,-2.5,-0.0862068965517,0.0268767207002,-0.171820875624,29
756,756,NC,37,2012,2218357.0,2137167.0,0.509320348137,0.490679651863,4.0,0.307692307692,3.0,0.230769230769,0.0784249031677,-0.00932034813722,13
757,757,NC,37,2014,1331059.72043,1514110.52958,0.467831308311,0.532168691689,3.0,0.230769230769,3.0,0.230769230769,0.0604669744774,0.0321686916889,13
758,758,NC,37,2016,2142661.0,2447326.0,0.466811997507,0.533188002493,3.0,0.230769230769,3.0,0.230769230769,0.047726639902,0.0331880024933,13
782,782,OH,39,1972,1798020.55337,2051302.16091,0.467100497108,0.532899502892,7.0,0.304347826087,3.0,0.130434782609,0.0705911284818,0.0328995028921,23
783,783,OH,39,1974,1447782.59666,1450837.35788,0.499473066275,0.500526933725,8.0,0.347826086957,3.5,0.152173913043,0.0370360754607,0.000526933725118,23
