,State,raceYear,AreaNumber,RepVotes,RepStatus,DemVotes,DemStatus,Dem Vote %,Winner,imputedRep,imputedDem,centeredRep,centeredDem
1706,Connecticut,2006,5,94824.0,Incumbent,122980.0,Challenger,0.564636095,D,94824.0,122980.0,120653.967721,101294.554284
1707,Connecticut,2008,1,76860.0,Challenger,211493.0,Incumbent,0.733451707,D,76860.0,211493.0,113923.060313,159577.116724
1708,Connecticut,2008,2,104574.0,Challenger,212148.0,Incumbent,0.66982401,D,104574.0,212148.0,155001.17238,160071.331716
1709,Connecticut,2008,3,58583.0,Challenger,230172.0,Incumbent,0.797118665,D,58583.0,230172.0,86832.6130927,173670.921073
1710,Connecticut,2008,4,146854.0,Incumbent,158475.0,Challenger,0.519030292,D,146854.0,158475.0,217669.231059,119573.619802
1711,Connecticut,2008,5,117914.0,Challenger,179327.0,Incumbent,0.603305062,D,117914.0,179327.0,174773.923155,135307.010685
1712,Connecticut,2010,1,84076.0,Challenger,138440.0,Incumbent,0.622157508,D,84076.0,138440.0,103045.002937,116917.317028
1713,Connecticut,2010,2,95671.0,Challenger,147748.0,Incumbent,0.606969875,D,95671.0,147748.0,117256.03592,124778.241521
1714,Connecticut,2010,3,74107.0,Challenger,143565.0,Incumbent,0.659547392,D,74107.0,143565.0,90826.8237389,121245.554891
1715,Connecticut,2010,4,102030.0,Challenger,115351.0,Incumbent,0.530639752,D,102030.0,115351.0,125049.736544,97417.8664869
1716,Connecticut,2010,5,104402.0,Challenger,122879.0,Incumbent,0.54064792,D,104402.0,122879.0,127956.900859,103775.520074
1717,Connecticut,2012,1,82321.0,Challenger,206973.0,Incumbent,0.715441731,D,82321.0,206973.0,119425.509495,157911.282041
1718,Connecticut,2012,2,88103.0,Challenger,204708.0,Incumbent,0.69911308,D,88103.0,204708.0,127813.627909,156183.186812
1719,Connecticut,2012,3,73726.0,Challenger,217573.0,Incumbent,0.7469061,D,73726.0,217573.0,106956.488783,165998.615122
1720,Connecticut,2012,4,117503.0,Challenger,175929.0,Incumbent,0.599556286,D,117503.0,175929.0,170465.077468,134226.077499
1721,Connecticut,2012,5,138637.0,Challenger,146098.0,Challenger,0.513101656,D,138637.0,146098.0,201124.796345,111466.338526
1722,Connecticut,2014,1,78609.0,Challenger,135825.0,Incumbent,0.633411679,D,78609.0,135825.0,99276.4238382,112421.108119
1723,Connecticut,2014,2,80837.0,Challenger,141948.0,Incumbent,0.637152412,D,80837.0,141948.0,102090.196718,117489.059122
1724,Connecticut,2014,3,69454.0,Challenger,140485.0,Incumbent,0.669170569,D,69454.0,140485.0,87714.4441636,116278.147426
1725,Connecticut,2014,4,91922.0,Challenger,106873.0,Incumbent,0.537604064,D,91922.0,106873.0,116089.600835,88457.802967
1726,Connecticut,2014,5,97767.0,Challenger,113564.0,Incumbent,0.537375018,D,97767.0,113564.0,123471.334445,93995.8823664
1727,Delaware,1972,1,141237.0,Incumbent,83230.0,Challenger,0.37078947,R,141237.0,83230.0,112233.5,112233.5
1728,Delaware,1974,1,93826.0,Incumbent,63490.0,Challenger,0.403582598,R,93826.0,63490.0,78658.0,78658.0
1729,Delaware,1976,1,110677.0,Challenger,102431.0,Challenger,0.480653002,R,110677.0,102431.0,106554.0,106554.0
1730,Delaware,1978,1,91689.0,Incumbent,64863.0,Challenger,0.414322398,R,91689.0,64863.0,78276.0,78276.0
1731,Delaware,1980,1,133842.0,Incumbent,81227.0,Challenger,0.377678791,R,133842.0,81227.0,107534.5,107534.5
1732,Delaware,1982,1,87153.0,Incumbent,98533.0,Challenger,0.530643129,D,87153.0,98533.0,92843.0,92843.0
1733,Delaware,1984,1,100650.0,Challenger,142070.0,Incumbent,0.585324654,D,100650.0,142070.0,121360.0,121360.0
1734,Delaware,1986,1,53767.0,Challenger,106351.0,Incumbent,0.6642039,D,53767.0,106351.0,80059.0,80059.0
1735,Delaware,1988,1,76179.0,Challenger,158338.0,Incumbent,0.675166406,D,76179.0,158338.0,117258.5,117258.5
1736,Delaware,1990,1,58037.0,Challenger,116274.0,Incumbent,0.667049125,D,58037.0,116274.0,87155.5,87155.5
1737,Delaware,1992,1,153037.0,Challenger,117426.0,Challenger,0.434166596,R,153037.0,117426.0,135231.5,135231.5
1738,Delaware,1994,1,137960.0,Incumbent,51803.0,Challenger,0.272987885,R,137960.0,51803.0,94881.5,94881.5
1739,Delaware,1996,1,185576.0,Incumbent,73253.0,Challenger,0.283016973,R,185576.0,73253.0,129414.5,129414.5
1740,Delaware,1998,1,119811.0,Incumbent,57446.0,Challenger,0.324083111,R,119811.0,57446.0,88628.5,88628.5
1741,Delaware,2000,1,211797.0,Incumbent,96488.0,Challenger,0.312983116,R,211797.0,96488.0,154142.5,154142.5
1742,Delaware,2002,1,164605.0,Incumbent,61011.0,Challenger,0.270419651,R,164605.0,61011.0,112808.0,112808.0
1743,Delaware,2004,1,245978.0,Incumbent,105716.0,Challenger,0.300590855,R,245978.0,105716.0,175847.0,175847.0
1744,Delaware,2006,1,143897.0,Incumbent,97565.0,Challenger,0.404059438,R,143897.0,97565.0,120731.0,120731.0
1745,Delaware,2008,1,235437.0,Incumbent,146434.0,Challenger,0.383464573,R,235437.0,146434.0,190935.5,190935.5
1746,Delaware,2010,1,125442.0,Challenger,173543.0,Challenger,0.58044049,D,125442.0,173543.0,149492.5,149492.5
1747,Delaware,2012,1,129757.0,Challenger,249933.0,Incumbent,0.658255419,D,129757.0,249933.0,189845.0,189845.0
1748,Delaware,2014,1,85146.0,Challenger,137251.0,Incumbent,0.617144116,D,85146.0,137251.0,111198.5,111198.5
1749,Florida,1972,1,0.0,0,1.0,Incumbent,1.0,D,62827.0,102718.5,69879.1369179,93302.4993297
1750,Florida,1972,2,0.0,0,1.0,Incumbent,1.0,D,41368.0,125450.5,46011.4303726,113950.702085
1751,Florida,1972,3,22219.0,Challenger,101441.0,Incumbent,0.82032185,D,22219.0,101441.0,24713.0142006,92142.1052148
1752,Florida,1972,4,72960.0,Challenger,92541.0,Incumbent,0.559156742,D,72960.0,92541.0,81149.5349059,84057.9505198
1753,Florida,1972,5,78468.0,Challenger,97902.0,Challenger,0.555094404,D,78468.0,97902.0,87275.7909128,88927.5183085
1754,Florida,1972,6,156150.0,Incumbent,49399.0,Challenger,0.240327124,R,156150.0,49399.0,173677.355751,44870.691885
