,State,cycle,mean,std,alpha,beta,stdv of votePct
39,DE,2010,0.61695373823697552,0.041397197933588252,84.460510405690229,52.438749897111364,0.0
40,FL,1970,0.56398150927917601,0.014293545028535885,678.25617542149098,524.36512379161491,0.17355268432314253
41,FL,1980,0.51062148462265511,0.02928591028078328,148.26288939204903,142.09482930365772,0.17356579750950174
42,FL,1990,0.45875035693868071,0.015394439482979132,480.18432730319057,566.53818754680844,0.16560180064284763
43,FL,2000,0.44958411614049626,0.030153463386146238,121.91013543798542,149.2518808817552,0.15356119626037573
44,FL,2010,0.46360169318564431,0.01040461039947628,1064.4779676388964,1231.6266050694642,0.16082541896224442
45,GA,1970,0.68660685454291348,0.043059558731657913,78.996564966142842,36.056997991267878,0.13971114103117022
46,GA,1980,0.6382799982059334,0.021016285959757429,333.00551812432343,188.71773665466026,0.12412192545549146
47,GA,1990,0.46239331277580364,0.050500174683033437,44.609104492615579,51.865267562684416,0.13903989250008233
48,GA,2000,0.4447784638174464,0.014780661361256565,502.32141829864287,627.05299877028756,0.19074174190494678
49,GA,2010,0.45921852300192906,0.0021792281044319493,24013.027315001254,28278.041342306333,0.19928881573252269
50,HI,1970,0.69691860454049137,0.11375802959814998,10.678287461427066,4.6438568920985848,0.081626458337339433
51,HI,1980,0.66560653879692455,0.10760301720320208,12.129503867670797,6.0937303715761955,0.14082783716451996
52,HI,1990,0.67036061828852678,0.062214376814299296,37.601058476615144,18.489734226293081,0.074996170965630854
53,HI,2000,0.67721972332786173,0.066816345454549023,32.481728714594631,15.481624382948398,0.068903236608575114
54,HI,2010,0.70788362756801104,0.068743180653946065,30.267763586607458,12.490342983245981,0.14148178948872711
55,ID,1970,0.42424068903977591,0.039459808960870479,66.12692275744179,89.744318417262875,0.043358834887173757
56,ID,1980,0.47832710033724918,0.066526853307143877,26.490017352375876,28.890531509896057,0.11758618955138087
57,ID,1990,0.39883130779588061,0.076752306046629748,15.833914002865743,23.866865984470262,0.097947925547093181
58,ID,2000,0.36746476880352086,0.047658020401672656,37.237409069286407,64.098588910963002,0.08913700097604578
59,ID,2010,0.34160900389055282,0.024905335912465271,123.52598262234754,238.07450570062329,0.013391983133487292
60,IL,1970,0.50181295669066028,0.039090186110324901,81.597721239135353,81.008126519865016,0.21938998622603453
61,IL,1980,0.54364360825665248,0.025702661563911752,203.61911008916496,170.9261011423759,0.20804410492288228
62,IL,1990,0.53182623374770821,0.026786724297501872,184.01533611806479,161.99116833985443,0.20061169383583383
63,IL,2000,0.54859195909520841,0.034756279820088339,111.91231877883975,92.086877569966575,0.21064307432263094
64,IL,2010,0.53944293412630229,0.021928502282753868,278.17310828564496,237.4942416559802,0.18383656813518345
65,IN,1970,0.51486730349477194,0.036051379285025865,98.433219571484159,92.74850609520243,0.11005304426216758
66,IN,1980,0.50808988967363544,0.028943903877437917,151.07565792995433,146.26475564724893,0.13986778267030947
67,IN,1990,0.46628153632271258,0.046414260038049604,53.39861159404856,61.121495753911013,0.13689469292600259
68,IN,2000,0.45714106651884145,0.051333601584803573,42.593933129004128,50.580660554647309,0.13797464599344922
69,IN,2010,0.41302383033824519,0.039123493259256951,65.004701587427334,92.38258895750765,0.12902798999716578
70,IA,1970,0.52866798795403813,0.029712585995529187,148.68618702518921,132.56062650064854,0.10168272626253108
71,IA,1980,0.48313149837547298,0.028412164695371236,148.96900413920881,159.37148833564797,0.13371010110023723
72,IA,1990,0.43537643706542878,0.016707537926307647,382.97505879588618,496.66615784242339,0.092081752499279995
73,IA,2000,0.46742130291011685,0.035902641903647337,89.803521714268683,102.32191449319815,0.087080858157188606
74,IA,2010,0.47643029431281342,0.033879315927480211,103.06257346558321,113.25988691497909,0.064048071838224585
75,KS,1970,0.40561486765058019,0.049354578700567912,39.740245578973891,58.235072261713363,0.1360876777083686
76,KS,1980,0.45931238647838696,0.026524274880700957,161.67528418965432,190.31889003508536,0.20092714827098349
77,KS,1990,0.3993566023279907,0.035549118295289305,75.402663197925676,113.40769515943445,0.12261338568115014
78,KS,2000,0.3908361204771128,0.039214449656021472,60.119739254627127,93.703656549312427,0.1513860143305569
79,KS,2010,0.36927340630442301,0.0059428707799304703,2434.8867904833751,4158.8368541488999,0.050110452756502
80,KY,1970,0.55836865262375812,0.053727082135545869,47.141308471820601,37.285545095808878,0.18622889560424302
81,KY,1980,0.5306595629717602,0.048925591329872883,54.68316063818942,48.364375774716919,0.20411521854116871
82,KY,1990,0.43957424893032437,0.05194277908950793,39.69625164705409,50.609883763863088,0.11257570482185628
83,KY,2000,0.42388539332008096,0.038524586023303498,69.323804526607219,94.219940124815523,0.13268722838063393
84,KY,2010,0.37635471494790917,0.020387087217142368,212.15450745086278,351.55440604109879,0.15043647379830596
85,LA,1970,0.51033578281725034,0.040287077415893352,78.063667989048739,74.901635674565014,0.22856033209761467
86,LA,1980,0.57890383622368746,0.026846177468501965,195.22855282966222,142.00975967346349,0.27176349681041084
87,LA,1990,0.39468106319389551,0.027580549406572535,123.56230647526266,189.50644193479226,0.22031258380505164
88,LA,2000,0.37731881177333404,0.01938306770459839,235.58227301346076,388.77640103797143,0.17220580837256241
89,LA,2010,0.35910893975800934,0.014742661958225137,379.90455821421403,678.00438292832087,0.24989656149557016
90,ME,1970,0.384809357205667,0.09788676194364157,9.1223997078225914,14.583883772563233,0.10611229725137841
91,ME,1980,0.43342271141043043,0.095516846795236171,11.232592460343074,14.683429392296645,0.14391632527321568
92,ME,1990,0.6155631013307844,0.07969078980349481,22.322353057227797,13.940952863756022,0.095238357195832291
93,ME,2000,0.60636026283675881,0.046102428410267911,67.488258690897467,43.812337385706428,0.043482401206612127
94,ME,2010,0.56953093234252405,0.048572780898263022,58.612606419709152,44.30121808255457,0.091193800705991424
95,MD,1970,0.60152663721300481,0.047091957129832634,64.413769132102004,42.670049184812584,0.191163023159863
96,MD,1980,0.60762870193253382,0.058518206921900816,41.697378244459173,26.925743263531924,0.1877279378578148
97,MD,1990,0.52884309825476017,0.022331647091019383,263.69848125737872,234.93425523405404,0.21976371111654541
98,MD,2000,0.61479078418574118,0.051620012085098171,54.02577182261038,33.850906247905499,0.18383115983419299
99,MD,2010,0.62190160563304919,0.037233588747392188,104.8601077311302,63.751947264917732,0.14732331451452843
100,MA,1970,0.62966413580600711,0.018519436626757552,427.48306932028066,251.42342226999739,0.17221435320115902
101,MA,1980,0.63994356003844888,0.010410721036468801,1359.84052192429,765.09768644300493,0.16049765930152896
102,MA,1990,0.66403631025421528,0.035536332308977424,116.64481789409965,59.015482744346031,0.10978384777274712
103,MA,2000,0.67347363245692971,0.033742914681148442,129.40165485205861,62.738985279586288,0.062325300885075374
104,MA,2010,0.68239198639458343,0.0053327628449376333,5199.9331184606481,2420.2224843835229,0.074075138880403665
105,MI,1970,0.54258178947064128,0.044362805440624736,67.8810107237598,57.226414628621647,0.18556769606376958
106,MI,1980,0.54596169991005472,0.028671433508880441,164.08746931753265,136.46011368062543,0.20073260042424979
107,MI,1990,0.52050615532148936,0.025950892712804277,192.37858053518792,177.22046948251219,0.19146807863400794
108,MI,2000,0.50155794964070188,0.030171568892733758,137.23877332736376,136.38618551473351,0.19198257730815366
109,MI,2010,0.51016758265723017,0.016486697693507919,468.52552440170888,449.85020218086464,0.17552128493233421
110,MN,1970,0.53220190925849986,0.044780686368513761,65.541678004121721,57.610225181341995,0.17329919484618456
111,MN,1980,0.57260370857746756,0.02515068280842539,220.96094386212377,164.92713292148994,0.16843517603771485
112,MN,1990,0.55004961397711871,0.022655960720782638,264.66819181770279,216.50329724857735,0.14401056299203213
113,MN,2000,0.54224301416393894,0.037553174963709364,94.897572391601187,80.111731394303092,0.14690450620929091
114,MN,2010,0.53343311578613484,0.025825806114100101,198.51835563752599,173.63393442973785,0.12102075357801412
115,MS,1970,0.57892704347647206,0.030158266212130653,154.58554329942703,112.43522389627485,0.26134028607259741
116,MS,1980,0.65515380330363082,0.10161047212718778,13.681078676690506,7.2011608946945573,0.2119825897915065
117,MS,1990,0.56449125707849945,0.096708658188926808,14.273687630524678,11.012244527924581,0.1563758545603679
118,MS,2000,0.50840322593340193,0.047309120388154109,56.26381621824725,54.403884827413513,0.17764202725770745
119,MS,2010,0.42431302805262333,0.023300972531527245,190.47793318677995,258.43105756699174,0.19430457638987611
120,MO,1970,0.6014555851245339,0.050181372330405705,56.651615003832724,37.53923866012115,0.12211735850778656
121,MO,1980,0.54869362176153635,0.018586422851951456,392.76554442768298,323.05386525807404,0.12488437565150894
122,MO,1990,0.52438498743648287,0.020930750824795192,298.00455507321129,270.2888976628048,0.1657206861720546
123,MO,2000,0.46271152624744716,0.027950507535950065,146.78507096840266,170.4429699209559,0.18319245832956291
124,MO,2010,0.40249452581059719,0.027703427482491029,125.72066378325498,186.63305961226681,0.18761179676754011
125,MT,1970,0.55611149585497799,0.04203582765593103,77.132692904972046,61.567358217665785,0.13302263920773333
126,MT,1980,0.5231820931768385,0.019446340053329705,344.6066874618852,314.06778163047767,0.14873164318711574
127,MT,1990,0.48675613303077869,0.037859895744993627,84.350732797488064,88.940833704775969,0.0
128,MT,2000,0.35343000702064581,0.027452345258151843,106.81416375041758,195.40738402036345,0.0
129,MT,2010,0.42867294858628968,0.014307347030374836,512.45481997222851,682.98991630572209,0.0
130,NE,1970,0.36176431365347944,0.072802584775226109,15.397608634694921,27.164932925011591,0.10839921078309671
131,NE,1980,0.35031583936440225,0.078385870870658,12.625845946074852,23.4154759906741,0.10176318185947845
132,NE,1990,0.32136379884033522,0.056461766423435776,21.663410221673022,45.747450304145453,0.10080646667094409
