year,state,Popular vote,Seat pct,Number of Districts,Standard deviation of vote among districts,Nagle area,Specific Asymmetry,Grofman King Asymmetry,Mean minus median,Efficiency gap,Lopsided Margins
2008,Utah,0.5613560764550317,0.6666666666666666,3.0,0.1943164042280509,0.12100000000000073,0.33333333333333326,0.6666666666666666,0.11897842304024597,0.0439545137566032,-0.0419640527336268
2010,Utah,0.6417691909948211,0.6666666666666666,3.0,0.16782223769602891,0.09500000000000035,-0.33333333333333337,0.6666666666666666,0.10129720023213096,-0.11687171532297558,-0.22819719802880795
2012,Utah,0.666411227527356,0.75,4.0,0.13088880269968503,0.059500000000000046,-0.25,0.5,0.030268169131279055,-0.08282245505471209,-0.2181977418482165
2014,Utah,0.656721388148356,1.0,4.0,0.10888078033195978,0.024000000000000018,0.0,0.5,0.01803759797201354,0.18655722370328798,0.0
1972,Vermont,0.6501779703848677,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.19964405923026463,0.0
1974,Vermont,0.5695896961872532,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.3608206076254936,0.0
1976,Vermont,0.6739846203834073,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.15203075923318532,0.0
1978,Vermont,0.796095368517153,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.09219073703430603,0.0
1980,Vermont,0.6724619137502206,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.15507617249955885,0.0
1982,Vermont,0.7488572796369527,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.002285440726094601,0.0
1984,Vermont,0.7103438347289872,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.07931233054202558,0.0
1986,Vermont,0.6350514762496201,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.2298970475007598,0.0
1988,Vermont,0.6857909293185552,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.12841814136288954,0.0
1990,Vermont,0.39521386093321137,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.29042772186642274,0.0
1992,Vermont,0.3196017712133694,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.13920354242673882,0.0
1994,Vermont,0.4828967038353143,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.4657934076706286,0.0
1996,Vermont,0.3353990845517091,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.17079816910341816,0.0
1998,Vermont,0.341503212756405,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.18300642551281,0.0
2000,Vermont,0.19762141034853792,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.10475717930292416,0.0
2002,Vermont,0.33447561474186127,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.16895122948372254,0.0
2004,Vermont,0.24615134773256797,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.007697304534864058,0.0
2006,Vermont,0.45562961867013446,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.4112592373402689,0.0
2008,Vermont,0.3419634679995871,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.1839269359991742,0.0
2010,Vermont,0.33159729003641353,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.16319458007282706,0.0
2012,Vermont,0.24459428629369565,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.010811427412608765,0.0
2014,Vermont,0.32515414621869887,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.15030829243739774,0.0
1972,Virginia,0.5594991934365248,0.8,10.0,0.15164437108969808,0.06640000000000044,0.10000000000000009,0.6,0.01295589553764298,0.1810016131269505,0.06485518082612704
1974,Virginia,0.5151151829087748,0.6,10.0,0.07939578914769971,0.01259999999999998,0.0,0.5,0.0031080005865604665,0.06976963418245041,-0.01601246735301784
1976,Virginia,0.5326957901225738,0.7,10.0,0.08951661449112498,0.02419999999999993,0.19999999999999996,0.5,0.01919217167525744,0.13460841975485227,-0.009192946959542814
1978,Virginia,0.5790874102504942,0.7,10.0,0.09963198053709509,0.03139999999999996,-0.10000000000000009,0.6,0.029482373999159206,0.041825179499011655,-0.08422700560771071
1980,Virginia,0.5662092831424325,0.8,10.0,0.0910342188077832,0.028799999999999937,0.0,0.6,0.03939930928002788,0.16758143371513512,-0.04444809318521292
1982,Virginia,0.5105613831508676,0.5,10.0,0.06543412919112984,0.014599999999999964,-0.09999999999999998,0.4,-0.009604670652672787,-0.021122766301735263,-0.022825196129731183
1984,Virginia,0.5305597958601478,0.5,10.0,0.08598467194187867,0.011999999999999983,0.0,0.5,-0.00940349842821131,-0.061119591720295574,-0.05717573487732748
1986,Virginia,0.518669821630041,0.5,10.0,0.11541203933729627,0.02199999999999993,0.0,0.5,-0.00932078780843415,-0.0373396432600821,-0.035874442765983255
1988,Virginia,0.5418685040780137,0.5,10.0,0.14448297926767353,0.02879999999999987,0.0,0.5,-0.015596438411072167,-0.08373700815602736,-0.05761173894684163
1990,Virginia,0.5019954727261944,0.4,10.0,0.0973508591827942,0.058400000000000216,-0.19999999999999996,0.4,-0.042236438272345855,-0.10399094545238874,-0.04291077056448494
1992,Virginia,0.4732374819257228,0.36363636363636365,11.0,0.1626542097134712,0.030090909090908984,-0.18181818181818177,0.45454545454545453,-0.0338305347356635,-0.08283860021508194,-0.009903918814108958
1994,Virginia,0.52303842212585,0.45454545454545453,11.0,0.17809726034612597,0.0699090909090903,-0.18181818181818182,0.45454545454545453,-0.055893176882283735,-0.09153138970624558,-0.05914559247284022
1996,Virginia,0.4968031700675065,0.45454545454545453,11.0,0.22656271117243854,0.04263636363636366,-0.09090909090909088,0.45454545454545453,-0.1261338952024494,-0.0390608855895585,0.0074345379503116815
1998,Virginia,0.4985186859981365,0.45454545454545453,11.0,0.18783466190117937,0.04009090909090906,-0.09090909090909088,0.45454545454545453,-0.03965747799836594,-0.04249191745081843,-0.031132918071999582
2000,Virginia,0.518189919941607,0.6363636363636364,11.0,0.18752051847873666,0.08299999999999928,0.18181818181818177,0.6363636363636364,0.09024529230557177,0.09998379648042233,0.06849534194102344
2002,Virginia,0.5446986298155173,0.7272727272727273,11.0,0.1442204360079065,0.06736363636363624,0.2727272727272727,0.5454545454545454,0.07609864518451426,0.13787546764169267,0.039037228220271086
2004,Virginia,0.5583618258533464,0.7272727272727273,11.0,0.12486225437319814,0.1028181818181813,0.2727272727272727,0.6363636363636364,0.06243544914593058,0.11054907556603455,0.015780086957817255
2006,Virginia,0.5258479723754287,0.7272727272727273,11.0,0.1391733302912268,0.0984545454545451,0.36363636363636365,0.6363636363636364,0.057373538119039225,0.17557678252186992,0.09094526551817134
2008,Virginia,0.49700120278106036,0.45454545454545453,11.0,0.12413987101497352,0.044090909090908834,-5.551115123125783E-17,0.5454545454545454,0.0018517223387750636,-0.039456951016666186,-0.00706397416594487
