,State,cycle,expectedCs,stdvCs,expectedCu,stdvCu,expStdv,stdvObs,stdvCsObs,ndist
26,OR,1970,-0.052411506741860854,0.20212219144630614,-0.0074672352222223733,0.024736041165686191,0.11812936551202274,0.010188646409732377,0.14420802196217775,4
27,PA,1970,-0.067544989449084866,0.16302366820869918,-0.011968081353953556,0.028819250947081668,0.17495912157664079,0.029633697778373623,0.18779838289779033,25
28,SC,1970,0.012173898775109731,0.20096486169690689,0.0026480116647309383,0.023919720119950839,0.11639685281749211,0.02026923705399885,0.16839217605186155,6
29,TN,1970,-0.092087754840056157,0.18544868617165017,-0.019717264933269904,0.038420602797500737,0.20340299164745909,0.047164292767774396,0.23166080864488536,8
30,TX,1970,-0.2075066675851483,0.085543463415226048,-0.035102462630929469,0.015065147580916352,0.16830152374369325,0.014979775677077768,0.093582073058307569,24
31,VA,1970,0.15734651131989813,0.1648118466757138,0.017566583751218591,0.018876310995635949,0.10901331747380857,0.015565533346871342,0.17602866436363251,10
32,WA,1970,-0.13437682948825849,0.2102520654250401,-0.021560554827822261,0.032112175543556019,0.15229410269024871,0.016844773601161697,0.10967079151263848,7
33,WV,1970,-0.016249302101921461,0.22080354746431316,-0.0022234631710773179,0.019987665536458189,0.08330020994468805,0.012965054032369305,0.14518362260302728,4
34,WI,1970,-0.1581191236450511,0.20215334529558168,-0.026951032454400781,0.034343986472378109,0.16509429555718474,0.014514952760028859,0.091613939264949276,9
35,AL,1980,-0.24021776802798414,0.20085694300560808,-0.038949183402377484,0.032934860453342228,0.1591942847083265,0.026469161495638882,0.12234492755354021,7
36,AZ,1980,0.3039307934057367,0.14116952744714659,0.055624539034112283,0.027024417438411927,0.18219875692602355,0.017366897457365697,0.08458229985306448,5
37,AR,1980,-0.26029254830660475,0.13699963296919429,-0.056322784116777824,0.031148729733300112,0.21686369804663877,0.023233258769615222,0.056411045739978648,4
38,CA,1980,-0.30705012274535531,0.084961127283918789,-0.058475436555531835,0.016636643535050961,0.19016037060992097,0.029321878072419441,0.11744467603440094,45
39,CO,1980,0.066956785673026029,0.16254097906290432,0.011028734345279565,0.027446129175787384,0.17464108963938935,0.014744854218176808,0.092525436615576287,6
40,CT,1980,-0.030501286406289772,0.19361456765676172,-0.0056934868958597399,0.032725697665400136,0.16812358696610041,0.018153903624772018,0.12678778863265378,6
41,FL,1980,-0.17240055985990524,0.15086625033996057,-0.03108562973860662,0.02737752449104057,0.1788346950320584,0.037422345087168941,0.20728812380932624,19
42,GA,1980,-0.071710938892059151,0.15542978246030681,-0.0096938682526646648,0.020401407284882309,0.13002562087966979,0.0180002334851934,0.13522865388732733,10
43,IL,1980,-0.10871118418741492,0.12042168854889064,-0.023112470522028576,0.025655012106173287,0.21099622678931837,0.051605078650674506,0.24944228697979645,22
44,IN,1980,-0.057647610990877458,0.1595618797820626,-0.0085436749210301421,0.023339436780249214,0.14578582304218971,0.0042611159617597233,0.027373618082803305,10
45,IA,1980,0.14376199700251674,0.19046221145535744,0.01966714055177711,0.026714725747581398,0.13444482355059267,0.025602159090143121,0.15997446826215231,6
46,KS,1980,0.36330112679527549,0.20386987988836841,0.074604040087088805,0.044048302759794065,0.20271446142207872,0.041615331238409388,0.21052542425838502,5
47,KY,1980,-0.33204574788395669,0.2406083788044984,-0.070485481397273536,0.051872122657410577,0.20774931163613691,0.031629740150877834,0.14266303216338699,7
48,LA,1980,0.029059158224643153,0.15720954464849748,0.0080265419876843162,0.043286062256590145,0.27233605099417907,0.063545489331725116,0.22416233048616344,8
49,MD,1980,-0.16587596022093309,0.16612383247512477,-0.033545860745210418,0.033839929546894298,0.19053439574220168,0.019103532538311176,0.071662104091851225,8
50,MA,1980,-0.21474175904848308,0.10209439913965589,-0.035172594608781978,0.01708798355737302,0.163326398876317,0.0061484992357399189,0.037058899916886774,11
51,MI,1980,-0.12023694707723892,0.11222593648177515,-0.024824888438430871,0.023244761344571367,0.20429478098346646,0.010761499859850995,0.057467860594065175,18
52,MN,1980,-0.24110517358560238,0.17793894516193415,-0.041927107872923725,0.031584188596129617,0.17164582548609927,0.051509825722847777,0.30970721275596985,8
53,MS,1980,-0.090340243670754883,0.24687985344385441,-0.029536572782749466,0.056873159214181762,0.22531707014967506,0.039776886170121047,0.16602576569656871,5
54,MO,1980,-0.1427350189558334,0.24881446897113885,-0.019351508318887413,0.033474911782897701,0.13094266814672889,0.029668189437798618,0.22098748550784128,9
55,NE,1980,0.073242873359959423,0.32559555699024728,0.011006399946811914,0.039879997909348597,0.11570943257558429,0.018251261219903066,0.17444679504480473,3
56,NJ,1980,-0.17827001819248359,0.15213455523435551,-0.035201294072899882,0.030317272988412875,0.19505245612195496,0.019118760686062084,0.08591750689675158,14
57,NM,1980,0.31209533397584099,0.21881360316490431,0.0636420395286771,0.046217265607165457,0.19791518518949672,0.033745477377396312,0.1029080606731743,3
58,NY,1980,-0.065824942846225296,0.10890177288607497,-0.015240999795369123,0.025216517213587853,0.23087350413349159,0.024642525337942936,0.10718090132597834,34
59,NC,1980,-0.0086544900565143999,0.1888698383533709,-0.0012817552651226843,0.023270503117408782,0.12369239688617745,0.024904005415986915,0.20416896129501383,11
60,OH,1980,-0.063638513069472089,0.21353561568138152,-0.014376419295015225,0.046989339994864654,0.21873418528510846,0.04579283313766791,0.22286700206044863,21
61,OK,1980,-0.31080053846795019,0.12745641288884929,-0.062674750636634663,0.027602142213754063,0.19964094715046318,0.026150850110733068,0.12697729028645977,6
62,OR,1980,0.0099952181153963281,0.24998916030576829,0.0014419769324929865,0.041174327626731358,0.16290231200378683,0.044657264900328279,0.27114173017385967,5
63,PA,1980,-0.023732972103855918,0.14939123296241941,-0.0049589416970039603,0.030518139706929577,0.20368672521410514,0.040132288536340502,0.19077145779289351,23
64,SC,1980,0.0044448901489318954,0.1974942104306622,0.00058719868843821782,0.027285386706867185,0.13869079627956357,0.028195290550575545,0.20602145682188719,6
65,TN,1980,-0.41288805038993076,0.14705326117449263,-0.087650610129300324,0.034017687562085501,0.21040883206372496,0.021874770459003295,0.12201692379557087,9
66,TX,1980,-0.26386957884761236,0.083397218214927835,-0.050017868392453708,0.016453432306015484,0.18896146962889823,0.015604486278671293,0.080443649855618804,27
67,UT,1980,0.017680725591790115,0.33601722109993637,0.0017985306081450395,0.042155363537302745,0.11820443078081018,0.041452177157608829,0.42018855528248306,3
68,VA,1980,-0.10391929191371987,0.18497206902445432,-0.01121543519017045,0.020058592433191191,0.10789506378204064,0.017203906320112532,0.17712191058267049,10
69,WA,1980,-0.26279858694986535,0.17132968423464479,-0.047782882624674679,0.032107060040581038,0.179397298828672,0.049326983738306719,0.2661851297159738,8
70,WV,1980,-0.0075379778962322919,0.22098891254954675,-0.0010041867537861175,0.018889936302527156,0.078123445356821253,0.016108358095762273,0.20248567956014971,4
71,WI,1980,-0.30186479198578048,0.23689370516518957,-0.057689302613473672,0.045902338808284336,0.18908182594157391,0.055482916037759566,0.3084944250590605,9
