,State,cycle,avgDemVoteInMostPartisanDem,avgRepVoteInMostPartisanDem,avgDemVoteInMostPartisanRep,avgRepVoteInMostPartisanRep,
40,FL,12,1970,102929.60000000001,28475.200000000001,45116.800000000003,159194.4
41,FL,12,1980,119079.2,44407.199999999997,54571.0,143655.4
42,FL,12,1990,120777.0,44907.0,59939.800000000003,147557.6
43,FL,12,2000,131582.60000000001,43099.599999999999,70859.399999999994,188788.2
44,FL,12,2010,180859.33333333334,46861.666666666664,87008.333333333328,230345.0
45,GA,13,1970,78871.199999999997,20736.599999999999,52862.599999999999,73230.8
46,GA,13,1980,96566.199999999997,22103.799999999999,61698.0,88705.4
47,GA,13,1990,115785.8,49137.599999999999,56470.599999999999,129894.6
48,GA,13,2000,138412.0,54330.400000000001,54180.199999999997,170836.2
49,GA,13,2010,194824.66666666666,52213.333333333336,63669.666666666664,181792.666667
50,HI,15,1970,101483.2,34274.0,77647.199999999997,41647.4
51,HI,15,1980,107689.0,51711.0,87990.25,70030.25
52,HI,15,1990,123566.8,46820.400000000001,108073.39999999999,66612.4
53,HI,15,2000,131928.39999999999,49762.400000000001,120156.39999999999,69225.0
54,HI,15,2010,160453.66666666666,38001.666666666664,118437.33333333333,76412.0
55,ID,16,1970,72935.800000000003,86831.0,62616.0,95330.0
56,ID,16,1980,101378.8,79157.600000000006,70616.800000000003,111522.8
57,ID,16,1990,103705.2,120027.0,69385.800000000003,142633.0
58,ID,16,2000,110632.8,148433.20000000001,68794.0,160963.2
59,ID,16,2010,96529.333333333328,181398.66666666666,95926.333333333328,195078.0
60,IL,17,1970,107812.2,8837.3999999999996,44818.199999999997,136522.2
61,IL,17,1980,143076.20000000001,10943.6,44446.599999999999,126406.4
62,IL,17,1990,155011.20000000001,23521.599999999999,59834.599999999999,148197.6
63,IL,17,2000,158151.79999999999,23363.0,74829.800000000003,171548.2
64,IL,17,2010,216044.33333333334,35172.0,79195.333333333328,220415.666667
65,IN,18,1970,109176.8,45983.599999999999,65351.400000000001,115042.4
66,IN,18,1980,120177.8,47662.800000000003,63622.400000000001,143662.6
67,IN,18,1990,120892.39999999999,53819.599999999999,55756.199999999997,170411.2
68,IN,18,2000,131801.79999999999,59354.599999999999,67942.800000000003,162123.6
69,IN,18,2010,144353.66666666666,78915.666666666672,66052.333333333328,164052.333333
70,IA,19,1970,116825.60000000001,64022.199999999997,72041.199999999997,108309.2
71,IA,19,1980,118379.8,66612.600000000006,56937.800000000003,109158.6
72,IA,19,1990,127524.39999999999,95949.600000000006,72397.800000000003,145075.0
73,IA,19,2000,140105.20000000001,105974.2,80906.399999999994,139887.6
74,IA,19,2010,188141.33333333334,154284.33333333334,139043.0,199517.666667
75,KS,20,1970,100787.60000000001,63084.0,50238.199999999997,120951.4
76,KS,20,1980,120937.8,45012.800000000003,51761.599999999999,134034.8
77,KS,20,1990,125562.0,117710.0,61074.400000000001,174813.6
78,KS,20,2000,147996.79999999999,121360.2,54132.800000000003,160480.0
79,KS,20,2010,113396.0,157409.0,76220.666666666672,155618.666667
80,KY,21,1970,84458.800000000003,30656.599999999999,37381.400000000001,89930.2
81,KY,21,1980,100959.8,37109.199999999997,37987.400000000001,100257.4
82,KY,21,1990,108467.0,82287.399999999994,53845.400000000001,131851.0
83,KY,21,2000,145864.79999999999,108388.0,64182.800000000003,159941.4
84,KY,21,2010,191947.33333333334,107175.33333333333,61591.333333333336,194572.333333
85,LA,22,1970,79940.800000000003,20633.799999999999,31638.799999999999,84001.2
86,LA,22,1980,96882.600000000006,15478.4,56312.400000000001,83302.8
87,LA,22,1990,82948.199999999997,113457.0,55109.800000000003,124134.8
88,LA,22,2000,93339.800000000003,40873.199999999997,44511.800000000003,163443.0
89,LA,22,2010,131597.0,125920.0,54655.0,222074.0
90,ME,23,1970,97709.399999999994,120984.0,60211.599999999999,140184.6
