,State,cycle,AreaNumber,alpha,beta,alphaCen,betaCen,alphaCenR,betaCenR,mean,std,meanCen,stdCen
1106,MO,1970,3,27.23007005522701,9.7613350771764544,22.538009925389343,12.140216860510227,22.538009925389343,12.140216860510227,0.73611883511216525,0.071504847236305388,0.64991817674349683,0.079856908235399968
1107,MO,1970,4,26.815109962307297,14.855920731056498,23.029403878627157,19.184213893346403,23.029403878627157,19.184213893346403,0.64349524156544713,0.073322754022853334,0.5455444260434088,0.075744388804164231
1108,MO,1970,5,73.011008719065103,32.04239777808985,35.710683682659187,23.768863050667488,35.710683682659187,23.768863050667488,0.69498944540215724,0.044707895496732701,0.60038594178879845,0.062984164466819675
1109,MO,1970,6,3.7683711898108303,3.8347250826224606,4.5551295708075701,6.7378835000715984,4.5551295708075701,6.7378835000715984,0.49563639006833238,0.17046140879354216,0.40335821292491875,0.13991784701381571
1110,MO,1970,7,24.807916303305653,39.473820413592186,45.28694351616813,109.52833214384965,45.28694351616813,109.52833214384965,0.38592479871167445,0.060251279351451179,0.29252244859622611,0.036444409335511227
1111,MO,1970,8,13.273906049047621,8.5538023470129261,17.846855010134863,17.209357197602824,17.846855010134863,17.209357197602824,0.60812183341441783,0.10217383011411442,0.50909250846546583,0.083254579655002756
1112,MO,1970,9,23.820805874584853,13.401384145830551,31.372432816653493,26.435036772117762,31.372432816653493,26.435036772117762,0.63996250251583153,0.077641398168193002,0.54270551954322865,0.06496266795921829
1113,MO,1970,10,12.436074628080755,7.0393201823111324,17.172748783965595,14.492246177203327,17.172748783965595,14.492246177203327,0.63855314611876224,0.10617068187840022,0.54232595978697284,0.08716999854213324
1114,MO,1980,1,58.855229404944978,29.242004337903747,55.509771661618679,33.493765073280805,55.509771661618679,33.493765073280805,0.66807125382325117,0.04988864575675972,0.62368051538172808,0.051065742739211203
1115,MO,1980,2,15.551025799467116,16.885067377155391,13.928707246773133,18.277487815617569,13.928707246773133,18.277487815617569,0.47943584681385498,0.086396195236243298,0.43248534077962547,0.085973514471315599
1116,MO,1980,3,24.713299105597262,12.307617785820486,26.213070356053326,15.756289842157837,26.213070356053326,15.756289842157837,0.66754962277356078,0.076400095161445622,0.62457636314338172,0.073871026663863151
