Year,ABBcode,YrStatAbbCD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,"Other, inc LDS"
2012,PA10,2012PA10,30.92183743,69.07816257,11.09405832,10.64958873,8.344764431,0.425688342
2012,PA11,2012PA11,30.68719364,69.31280636,11.86974325,9.551180524,8.312616695,0.426386532
2012,PA12,2012PA12,34.6325822,65.3674178,10.60519948,13.76301328,7.272161171,0.614106368
2012,PA13,2012PA13,25.7656953,74.2343047,11.75511883,5.635789222,7.251190947,0.515329458
2012,PA14,2012PA14,33.80055323,66.19944677,13.05592362,12.39811022,6.591116116,0.347440299
2012,PA15,2012PA15,50.46481064,49.53518936,7.156684066,27.23656947,7.73976233,0.277842923
2012,PA16,2012PA16,46.33436615,53.66563385,6.674323639,21.86728796,13.13865907,0.31555171
2012,PA17,2012PA17,53.55627193,46.44372807,5.741591254,33.46551823,5.455786004,0.425229059
2012,PA18,2012PA18,55.94811051,44.05188949,8.701511186,27.88355185,6.857243751,0.454951424
2012,PA2,2012PA2,56.5967448,43.4032552,7.118162959,31.59691511,7.251190947,0.506814638
2012,PA3,2012PA3,60.56976429,39.43023571,6.384201388,37.65666025,10.72852433,0.323327307
2012,PA4,2012PA4,52.97563469,47.02436531,6.035022846,24.59705859,11.11969112,0.425688342
2012,PA5,2012PA5,51.6939615,48.3060385,18.93357177,16.87615859,9.592776954,0.315766215
2012,PA6,2012PA6,48.99397612,51.00602388,8.817637855,16.69067552,7.210769239,0.434144878
2012,PA7,2012PA7,58.671851,41.328149,6.931756235,34.42695884,9.557538372,0.325226452
2012,PA8,2012PA8,43.35928389,56.64071611,11.34303071,11.00782578,5.873317601,0.31722936
2012,PA9,2012PA9,49.63681598,50.36318402,7.457143104,25.55749653,10.38318339,0.343319947
2012,RI1,2012RI1,54.91099197,45.08900803,10.13965335,27.40228555,2.451180491,0.311022741
2012,RI2,2012RI2,57.87020602,42.12979398,8.082340057,32.16156945,2.666002757,0.370187562
2012,SC1,2012SC1,47.14777271,52.85222729,10.12894528,17.87083013,19.21934271,0.928116322
2012,SC2,2012SC2,58.38429656,41.61570344,7.02307569,33.31886351,28.7569026,0.985884639
2012,SC3,2012SC3,63.99676792,36.00323208,4.98650184,44.95469382,41.47522572,0.558606847
2012,SC4,2012SC4,67.71082558,32.28917442,4.894914292,49.92156565,40.46472485,0.794390999
2012,SC5,2012SC5,45.58854711,54.41145289,13.84591607,12.52965619,34.58585871,0.962263914
2012,SC6,2012SC6,56.16286054,43.83713946,2.337776628,45.46879087,22.45619065,0.899123813
2012,SC7,2012SC7,53.49528562,46.50471438,2.644279727,43.22128259,25.78979766,0.705675889
2012,SD0,2012SD0,45.55399033,54.44600967,20.86517669,6.412096121,14.51055049,1.205138913
2012,TN1,2012TN1,47.55937431,52.44062569,24.18905455,4.372913639,41.9987181,0.638402291
2012,TN2,2012TN2,58.16773818,41.83226182,42.57767561,2.752998339,43.37979581,0.75121373
2012,TN3,2012TN3,59.05638979,40.94361021,41.11889005,4.000399811,45.41658465,0.595869558
2012,TN4,2012TN4,51.85969921,48.14030079,30.95624746,2.625348927,35.2373654,0.907973839
2012,TN5,2012TN5,52.33661027,47.66338973,24.97974106,2.907250427,33.01269687,0.81948195
2012,TN6,2012TN6,58.56591908,41.43408092,14.51055049,18.2862512,34.86835785,0.722722666
2012,TN7,2012TN7,54.32145308,45.67854692,41.98500409,1.651773653,37.21533897,0.933239594
2012,TN8,2012TN8,62.63879155,37.36120845,45.42414055,4.021592511,33.2693835,0.548842419
2012,TN9,2012TN9,59.23479092,40.76520908,44.78935243,2.765656553,28.07122129,0.622652656
2012,TX1,2012TX1,49.14506419,50.85493581,37.32975535,2.227268557,42.05842142,1.106639571
2012,TX10,2012TX10,55.93465781,44.06534219,33.47427824,4.282604914,24.10209926,1.086681626
2012,TX11,2012TX11,43.76318502,56.23681498,33.03701163,2.733396261,39.3433563,1.720605209
2012,TX12,2012TX12,55.59043406,44.40956594,33.01127278,5.08650543,30.95157494,1.460545501
2012,TX13,2012TX13,57.78445797,42.21554203,41.16281873,2.384210495,46.15842608,0.900551842
2012,TX14,2012TX14,63.40061489,36.59938511,28.07122129,6.597574069,27.59177728,1.173656622
2012,TX15,2012TX15,64.00176861,35.99823139,41.89296135,9.582074835,11.10453254,1.086681626
2012,TX16,2012TX16,52.82021366,47.17978634,21.74147036,17.45557271,10.87320629,1.096977607
2012,TX17,2012TX17,61.52869382,38.47130618,36.02057028,15.72413632,20.84718473,1.06906316
2012,TX18,2012TX18,54.21999077,45.78000923,32.12242116,9.556728815,26.32370905,1.047967667
2012,TX19,2012TX19,67.3162742,32.6837258,48.52369553,7.692610356,41.77450864,1.053107817
2012,TX2,2012TX2,56.35345623,43.64654377,23.92424929,21.00970989,26.32370905,1.184783748
2012,TX20,2012TX20,52.59256872,47.40743128,12.02011489,35.7879889,16.82636711,1.052820177
2012,TX21,2012TX21,57.72531465,42.27468535,10.87320629,43.20880488,16.94963838,1.240621513
2012,TX22,2012TX22,51.12951692,48.87048308,30.95512291,9.020505771,25.09348828,1.090230828
2012,TX23,2012TX23,58.39459846,41.60540154,26.32370905,18.12836732,15.03464066,1.5673574
2012,TX24,2012TX24,66.3176478,33.6823522,42.15073157,13.18205373,27.44881128,0.912005967
2012,TX25,2012TX25,64.14188077,35.85811923,28.27472887,20.81070364,25.95926697,1.086681626
2012,TX26,2012TX26,56.43516664,43.56483336,16.82636711,30.83947555,27.44881128,1.013065253
2012,TX27,2012TX27,52.66735276,47.33264724,18.09738501,23.76417348,21.9473616,1.428119057
2012,TX28,2012TX28,50.24703058,49.75296942,20.98764293,16.17691183,13.54077685,1.278226861
2012,TX29,2012TX29,54.58218559,45.41781441,15.59955236,31.51324791,26.32370905,1.077519535
2012,TX3,2012TX3,55.69864933,44.30135067,27.21985281,14.22254921,23.56146489,1.458737574
2012,TX30,2012TX30,48.99138758,51.00861242,16.66757821,20.21062759,26.00561031,1.1095323
2012,TX31,2012TX31,46.79767573,53.20232427,27.40037133,8.946428671,20.42463372,1.179552406
2012,TX32,2012TX32,56.38963556,43.61036444,15.98076857,33.9485868,25.39866941,1.1095323
2012,TX33,2012TX33,50.19082424,49.80917576,9.540216393,36.55889222,27.78240212,1.046237737
2012,TX34,2012TX34,58.39459846,41.60540154,26.32370905,18.12836732,11.62604025,1.348679531
2012,TX35,2012TX35,55.48005656,44.51994344,24.38743472,15.7875805,16.74913845,1.086681626
2012,TX36,2012TX36,61.44732214,38.55267786,26.00561031,18.8754123,27.08204884,0.927014842
2012,TX4,2012TX4,43.26339331,56.73660669,22.90895317,9.279112446,33.18121034,1.704292727
2012,TX5,2012TX5,61.44732214,38.55267786,26.00561031,18.8754123,27.27099747,1.124082679
2012,TX6,2012TX6,60.22205258,39.77794742,39.63231908,8.641263555,30.3568269,1.052123051
2012,TX7,2012TX7,55.986424,44.013576,30.80785686,13.34075545,26.32370905,1.387956911
2012,TX8,2012TX8,54.38308568,45.61691432,31.23097325,10.32419192,26.32832795,1.225152534
2012,TX9,2012TX9,58.39459846,41.60540154,26.32370905,18.12836732,24.6669078,1.13066984
2012,UT1,2012UT1,50.08270232,49.91729768,29.869675,10.28914938,2.962442094,69.7712004
2012,UT2,2012UT2,55.82315592,44.17684408,24.43315952,17.51797227,2.497873915,64.44348557
2012,UT3,2012UT3,80.12160699,19.87839301,2.839106993,6.744628685,2.026321891,68.45991542
2012,UT4,2012UT4,75.42233072,24.57766928,2.400001658,6.032971002,1.909376268,69.3797904
2012,VA1,2012VA1,81.55026446,18.44973554,1.647131029,4.6801174,16.90888438,1.13636809
2012,VA10,2012VA10,43.31137783,56.68862217,20.49020679,8.243376175,9.458756531,0.9970273
