,State,cycle,alpha,beta
70,IA,1970,148.68618702518921,132.56062650064854
71,IA,1980,148.96900413920881,159.37148833564797
72,IA,1990,382.97505879588618,496.66615784242339
73,IA,2000,89.803521714268683,102.32191449319815
74,IA,2010,103.06257346558321,113.25988691497909
75,KS,1970,39.740245578973891,58.235072261713363
76,KS,1980,161.67528418965432,190.31889003508536
77,KS,1990,75.402663197925676,113.40769515943445
78,KS,2000,60.119739254627127,93.703656549312427
79,KS,2010,2434.8867904833751,4158.8368541488999
80,KY,1970,47.141308471820601,37.285545095808878
81,KY,1980,54.68316063818942,48.364375774716919
82,KY,1990,39.69625164705409,50.609883763863088
83,KY,2000,69.323804526607219,94.219940124815523
84,KY,2010,212.15450745086278,351.55440604109879
85,LA,1970,78.063667989048739,74.901635674565014
86,LA,1980,195.22855282966222,142.00975967346349
87,LA,1990,123.56230647526266,189.50644193479226
88,LA,2000,235.58227301346076,388.77640103797143
89,LA,2010,379.90455821421403,678.00438292832087
90,ME,1970,9.1223997078225914,14.583883772563233
91,ME,1980,11.232592460343074,14.683429392296645
92,ME,1990,22.322353057227797,13.940952863756022
93,ME,2000,67.488258690897467,43.812337385706428
94,ME,2010,58.612606419709152,44.30121808255457
95,MD,1970,64.413769132102004,42.670049184812584
96,MD,1980,41.697378244459173,26.925743263531924
97,MD,1990,263.69848125737872,234.93425523405404
98,MD,2000,54.02577182261038,33.850906247905499
99,MD,2010,104.8601077311302,63.751947264917732
100,MA,1970,427.48306932028066,251.42342226999739
101,MA,1980,1359.84052192429,765.09768644300493
102,MA,1990,116.64481789409965,59.015482744346031
103,MA,2000,129.40165485205861,62.738985279586288
104,MA,2010,5199.9331184606481,2420.2224843835229
105,MI,1970,67.8810107237598,57.226414628621647
106,MI,1980,164.08746931753265,136.46011368062543
107,MI,1990,192.37858053518792,177.22046948251219
108,MI,2000,137.23877332736376,136.38618551473351
109,MI,2010,468.52552440170888,449.85020218086464
110,MN,1970,65.541678004121721,57.610225181341995
111,MN,1980,220.96094386212377,164.92713292148994
112,MN,1990,264.66819181770279,216.50329724857735
113,MN,2000,94.897572391601187,80.111731394303092
114,MN,2010,198.51835563752599,173.63393442973785
115,MS,1970,154.58554329942703,112.43522389627485
