,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction)
756,NC,37,2012,2218357.0,2137167.0,0.509320348137216,0.49067965186278395,4.0,0.3076923076923077,3.0,0.23076923076923078
757,NC,37,2014,1389299.0,1586278.5,0.4669006268531067,0.5330993731468934,3.0,0.23076923076923078,3.0,0.23076923076923078
758,NC,37,2016,2142661.0,2447326.0,0.46681199750674673,0.5331880024932533,3.0,0.23076923076923078,3.0,0.23076923076923078
782,OH,39,1972,1787132.0,2026687.6666667,0.4685937344179578,0.5314062655820422,7.0,0.30434782608695654,3.0,0.13043478260869565
783,OH,39,1974,1453304.75,1458726.75,0.4990690347958118,0.5009309652041882,8.0,0.34782608695652173,3.5,0.15217391304347827
798,OH,39,2004,2352025.5,2771962.5,0.45902244501743567,0.5409775549825644,6.0,0.3333333333333333,3.0,0.16666666666666666
802,OH,39,2012,2413748.0,2596672.0,0.4817456420819013,0.5182543579180987,4.0,0.25,3.0,0.1875
804,OH,39,2016,2154523.0,2996017.0,0.41831011893898506,0.5816898810610149,4.0,0.25,2.5,0.15625
870,PA,42,2010,1925037.0,2059286.3333333,0.4831528063736501,0.5168471936263499,7.0,0.3684210526315789,2.5,0.13157894736842105
871,PA,42,2012,2793538.0,2710070.0,0.5075830255352489,0.4924169744647511,5.0,0.2777777777777778,4.0,0.2222222222222222
872,PA,42,2014,1821448.0,2017210.5,0.4745011831607318,0.5254988168392682,5.0,0.2777777777777778,4.0,0.2222222222222222
873,PA,42,2016,2772302.0,2990943.0,0.4810314328125908,0.5189685671874091,5.0,0.2777777777777778,4.0,0.2222222222222222
968,TX,48,1976,2259102.666667,1406597.8333333,0.6162812992132923,0.38371870078670767,22.0,0.9166666666666666,-2.5,-0.10416666666666667
969,TX,48,1978,1442358.75,1012913.25,0.5874537525781257,0.4125462474218743,20.0,0.8333333333333334,-3.5,-0.14583333333333334
970,TX,48,1980,2085957.1666667,1837670.8333333,0.5316398921270569,0.46836010787294313,19.0,0.7916666666666666,-5.0,-0.20833333333333334
971,TX,48,1982,1948234.4500000002,1464720.9166667,0.5708350214678501,0.42916497853214985,21.0,0.7777777777777778,-3.5,-0.12962962962962962
972,TX,48,1984,2474193.5333334,2408326.3333334,0.506745205528981,0.49325479447101905,17.0,0.6296296296296297,-3.5,-0.12962962962962962
973,TX,48,1986,1939241.3666667,1705836.166667,0.5320164931836489,0.46798350681635115,17.0,0.6296296296296297,-3.0,-0.1111111111111111
974,TX,48,1988,2365576.2,2259097.25,0.5115120506508412,0.48848794934915885,19.0,0.7037037037037037,-5.5,-0.2037037037037037
975,TX,48,1990,2094489.7833333001,1944583.9166668998,0.5185569610510441,0.4814430389489559,19.0,0.7037037037037037,-5.0,-0.18518518518518517
976,TX,48,1992,2810867.5,2831041.4166667,0.4982121373311164,0.5017878626688836,21.0,0.7,-6.0,-0.2
977,TX,48,1994,2016661.0,2494539.666667,0.44703420419778517,0.5529657958022148,19.0,0.6333333333333333,-5.0,-0.16666666666666666
978,TX,48,1996,2105856.6666663,2474503.6666663,0.4597578603895801,0.5402421396104199,17.0,0.5666666666666667,-3.0,-0.1
979,TX,48,1998,1941212.916666,2350004.7500003,0.45236878374758877,0.5476312162524113,17.0,0.5666666666666667,-3.0,-0.1
980,TX,48,2000,2675136.6666663,3079882.4166663,0.46483541199957057,0.5351645880004294,17.0,0.5666666666666667,-2.5,-0.08333333333333333
1041,VA,51,1984,1316453.9047619998,1237872.2380953,0.5153820738370546,0.4846179261629454,10.0,0.7142857142857143,-2.5,-0.17857142857142858
1055,VA,51,2012,2063126.0,2261014.0,0.4771182246643263,0.5228817753356737,4.0,0.2857142857142857,2.5,0.17857142857142858
