,abbr,totalTaxPC,SALT_DeductionsPC,Pop2000,WhitePop2000,STATEFP,Pop2010,WhitePop2010,MedianHHIncome2010,Gini2010,MedianHHIncome,Gini,state_initnum,p_evang,p_mormon,kerry_04,p_relig,State,Clinton,Trump,logitTrump,region,MHIdiff,Ginidiff,PercentWhite2000,PercentWhite2010,PercentWhiteDiff
34,GA,9.1588794013239951,8.2981787814875432,8186453.0,5327281.0,13,9687653.0,5787440.0,49347.0,0.465,49342.0,0.4775,11,27.6299991608,0.533425807953,41.4000015259,28.1634254456,Georgia,47.3,52.7,0.108105160049,2,-5.0,0.012499999999999956,0.6507434904958228,0.5974037261656667,-0.05333976433015608
37,HI,9.9055138972205565,7.7877296425926197,1211537.0,294102.0,15,1360301.0,336599.0,66420.0,0.43,68201.0,0.4321,12,8.13000011444,3.53053498268,54.0,11.6605348587,Hawaii,67.4,32.6,-0.726332729546,3,1781.0,0.0020999999999999908,0.24275114998551428,0.2474444994159381,0.004693349430423821
49,IA,10.163750204043561,7.7820475971092424,2926324.0,2748640.0,19,3046355.0,2781561.0,48872.0,0.427,52716.0,0.4358,13,11.6899995804,0.519212722778,49.2000007629,12.2092123032,Iowa,44.9,55.1,0.204711921411,1,3844.0,0.00880000000000003,0.9392808178451874,0.9130784166651621,-0.02620240118002526
40,ID,8.862953995157385,6.731017190984776,1293953.0,1177304.0,16,1567582.0,1396487.0,46423.0,0.429,47334.0,0.4375,14,8.92000007629,23.9675292969,30.2999992371,32.8875274658,Idaho,31.7,68.3,0.767593085694,3,911.0,0.008500000000000008,0.9098506669098492,0.8908541945493123,-0.01899647236053692
43,IL,12.523901912111423,11.227062611470034,12419293.0,9125471.0,17,12830632.0,9177877.0,55735.0,0.465,57166.0,0.4731,15,10.2700004578,0.288678705692,54.7999992371,10.5586795807,Illinois,59.0,41.0,-0.363965377201,1,1431.0,0.008099999999999996,0.7347818430566055,0.7153098148243984,-0.019472028232207172
46,IN,8.7560732843449571,7.1956988797052057,6080485.0,5320022.0,18,6483802.0,5467906.0,47697.0,0.434,48737.0,0.445,16,15.970000267,0.464700013399,39.2999992371,16.4347000122,Indiana,39.9,60.1,0.409633517645,1,1040.0,0.01100000000000001,0.8749338251800638,0.8433178557889337,-0.031615969391130094
0,KS,9.42505132265822,8.701292610984579,2688418.0,2313944.0,20,2853118.0,2391044.0,49424.0,0.444,51872.0,0.4517,17,15.6000003815,0.757871329784,36.5999984741,16.3578720093,Kansas,38.9,61.1,0.451517615553,1,2448.0,0.007699999999999985,0.8607084166227127,0.8380459553372837,-0.022662461285429036
2,KY,9.9553904769584332,6.6641117737299274,4041769.0,3640889.0,21,4339367.0,3809537.0,41576.0,0.464,43342.0,0.4693,18,33.6300010681,0.444727301598,39.7000007629,34.0747299194,Kentucky,34.3,65.7,0.649953571319,2,1766.0,0.005299999999999971,0.9008157071816821,0.8779015464697961,-0.02291416071188601
5,LA,6.7422943448938168,7.7499142461686592,4468976.0,2856161.0,22,4533372.0,2836192.0,43445.0,0.475,44991.0,0.484,19,21.5300006866,0.357944309711,42.2000007629,21.8879451752,Louisiana,39.8,60.2,0.413805440024,2,1546.0,0.009000000000000008,0.6391086011650096,0.6256252520199093,-0.013483349145100298
14,MA,15.57174963461093,15.200406228842247,6349097.0,5367286.0,25,6547629.0,5265236.0,64509.0,0.469,67846.0,0.4801,20,2.36999988556,0.257980406284,61.9000015259,2.62798023224,Massachusetts,64.7,35.3,-0.605878237568,0,3337.0,0.011100000000000054,0.8453621042488404,0.8041439122467079,-0.0412181920021325
11,MD,12.931197022948108,10.914738344530187,5296486.0,3391308.0,24,5773552.0,3359284.0,70647.0,0.441,74149.0,0.4483,21,7.71000003815,0.487675487995,55.9000015259,8.19767570496,Maryland,64.0,36.0,-0.575364144904,2,3502.0,0.007299999999999973,0.6402939609393851,0.5818400873500403,-0.05845387358934473
8,ME,11.431872442974836,6.8104785504104077,1274923.0,1236014.0,23,1328361.0,1264971.0,46933.0,0.434,48804.0,0.449,22,3.31999993324,0.556007623672,53.5999984741,3.87600755692,Maine,51.6,48.4,-0.0640218587649,0,1871.0,0.015000000000000013,0.9694812941644319,0.952279538468835,-0.0172017556955969
17,MI,9.6483594442802243,8.0647229152667403,9938444.0,7966053.0,26,9883640.0,7803120.0,48432.0,0.449,49087.0,0.4592,23,10.7700004578,0.301446795464,51.2000007629,11.0714473724,Michigan,49.9,50.1,0.00400000533335,1,655.0,0.010199999999999987,0.8015392550383138,0.7894986057768191,-0.01204064926149473
20,MN,12.954391677591238,10.217431078200052,4919479.0,4400282.0,27,5303925.0,4524062.0,57243.0,0.438,60828.0,0.4459,24,11.1099996567,0.407617509365,51.0999984741,11.5176172256,Minnesota,50.8,49.2,-0.0320027310862,1,3585.0,0.007900000000000018,0.8944609784897953,0.8529649269173301,-0.041496051572465276
26,MO,9.8864056724334581,7.9169501678767178,5595211.0,4748083.0,29,5988927.0,4958770.0,46262.0,0.45,47764.0,0.4604,25,24.7099990845,0.73167860508,46.0999984741,25.4416770935,Missouri,40.2,59.8,0.397138665332,1,1502.0,0.010399999999999965,0.8485976668261483,0.8279897216980604,-0.020607945128087946
23,MS,6.3027116653424988,5.5089867600745546,2844658.0,1746099.0,28,2967297.0,1754684.0,37881.0,0.474,39464.0,0.4769,26,39.6699981689,0.456284403801,39.7999992371,40.1262817383,Mississippi,40.9,59.1,0.368100861363,2,1583.0,0.0029000000000000137,0.6138168454696488,0.5913408735290063,-0.022475971940642436
29,MT,9.3578082776276492,7.2531354062186564,902195.0,817229.0,30,989415.0,884961.0,43872.0,0.437,46766.0,0.4484,27,11.1499996185,3.62063288689,38.5999984741,14.7706327438,Montana,38.9,61.1,0.451517615553,3,2894.0,0.011400000000000021,0.9058230205221709,0.8944285259471506,-0.011394494575020286
50,NC,9.5870357485233626,7.877968828173552,8049313.0,5804656.0,37,9535483.0,6528950.0,45570.0,0.463,46693.0,0.4703,28,25.4899997711,0.507591128349,43.5999984741,25.9975910187,North Carolina,48.1,51.9,0.0760366130601,2,1123.0,0.007299999999999973,0.7211368224841052,0.6847005023237942,-0.03643632016031095
