,state_abbr,STATEFP,electoral_votes,dem_votes,rep_votes,ind_votes,votes_total,el_votes_per_pop_vote,min_counties_for_state_win,rep_margin,rep_margin_as_frac_of_min_county_votes,el_vote_per_county_frac,el_vote_per_county_frac_per_diff,el_vote_per_county_frac_per_frac,lost_votes,dem_lost,rep_lost,ind_lost,win_margin,allStateMajInNatMaj,dem_votesInTop5,rep_votesInTop5,ind_votesInTop5
29,NH,33,4,348521.0,345789.0,6416.0,731553.0,5.4678198298687858e-06,0.2,-2732.0,-0.0070118343954602728,20.0,-0.007320644216691069,-2852.3206442166911,352205.0,0,345789.0,6416.0,0.003734520943800381,False,100013.0,99589.0,1752.0
30,NJ,34,14,2021756.0,1535513.0,12980.0,3674893.0,3.8096347295009679e-06,0.3333333333333333,-486243.0,-0.24229865377179102,42.0,-8.6376564804017738e-05,-173.33979923618438,1548493.0,0,1535513.0,12980.0,0.13231487284119564,True,1130288.0,1596012.0,9232.0
31,NM,35,5,380724.0,315875.0,3127.0,783127.0,6.3846604701408582e-06,0.09090909090909091,-64849.0,-0.15845157317838965,55.0,-0.00084812410368702675,-347.10920754367839,319002.0,0,315875.0,3127.0,0.082807769365632902,False,93874.0,141960.0,1062.0
32,NY,36,29,4143874.0,2640570.0,91211.0,7046175.0,4.1157081679067013e-06,0.0967741935483871,-1503304.0,-0.42070455301694426,299.66666666666669,-0.00019933870106556402,-712.2971798562811,2731781.0,0,2640570.0,91211.0,0.2133503638498902,True,1472052.0,3201351.0,55125.0
33,NC,37,15,2162074.0,2339603.0,127794.0,4629471.0,3.2401110191639605e-06,0.13,177529.0,0.07489698600477826,115.38461538461539,0.00064994798249646754,1540.5775524432199,2289868.0,2162074.0,0,127794.0,0.038347577941410582,False,445371.0,738560.0,40930.0
34,ND,38,3,93526.0,216133.0,2098.0,336968.0,8.9029225327034023e-06,0.07547169811320754,122607.0,0.67272966700136638,39.75,0.00032420661136802956,59.087627541657483,95624.0,93526.0,0,2098.0,0.36385354098905531,False,0.0,0.0,0.0
35,OH,39,18,2317001.0,2771984.0,23193.0,5325395.0,3.3800309648392279e-06,0.10227272727272728,454983.0,0.16850810313525666,176.0,0.00038682763971401132,1044.4601578520517,2340194.0,2317001.0,0,23193.0,0.08543647935974702,False,846593.0,1282468.0,7474.0
36,OK,40,7,419788.0,947934.0,83334.0,1451056.0,4.8240729510094715e-06,0.06493506493506493,528146.0,0.72789893822287388,107.80000000000001,0.00020411022709629538,148.09748213562162,503122.0,419788.0,0,83334.0,0.36397354754054978,False,285414.0,200324.0,34428.0
37,OR,41,7,934631.0,742506.0,45132.0,1808575.0,3.8704504927912863e-06,0.1111111111111111,-192125.0,-0.20159936369626988,63.0,-0.00032791151594014311,-312.50098633702027,787638.0,0,742506.0,45132.0,0.10623004298964654,True,218020.0,499759.0,19719.0
38,PA,42,20,2844705.0,2912941.0,20803.0,5970107.0,3.3500237097928059e-06,0.11940298507462686,68236.0,0.022102632971779914,167.5,0.0024547159856966997,7578.2826513863656,2865508.0,2844705.0,0,20803.0,0.011429610893071096,True,1290228.0,1866840.0,9928.0
